date,communications privacy index trend
1/1/11,21
2/1/11,26
3/1/11,26
4/1/11,24
5/1/11,26
6/1/11,25
7/1/11,28
8/1/11,29
9/1/11,30
10/1/11,30
11/1/11,31
12/1/11,28
1/1/12,30
2/1/12,33
3/1/12,32
4/1/12,34
5/1/12,36
6/1/12,37
7/1/12,38
8/1/12,43
9/1/12,41
10/1/12,40
11/1/12,40
12/1/12,43
1/1/13,43
2/1/13,47
3/1/13,47
4/1/13,48
5/1/13,49
6/1/13,53
7/1/13,58
8/1/13,57
9/1/13,55
10/1/13,57
11/1/13,59
12/1/13,62
1/1/14,62
2/1/14,68
3/1/14,67
4/1/14,67
5/1/14,65
6/1/14,66
7/1/14,68
8/1/14,68
9/1/14,72
10/1/14,71
11/1/14,75
12/1/14,73
1/1/15,73
2/1/15,79
3/1/15,82
4/1/15,81
5/1/15,74
6/1/15,76
7/1/15,80
8/1/15,80
9/1/15,80
10/1/15,77
11/1/15,79
12/1/15,80
1/1/16,79
2/1/16,77
3/1/16,78
4/1/16,100
5/1/16,80
6/1/16,77
7/1/16,77
8/1/16,87
9/1/16,89
10/1/16,83
11/1/16,83
12/1/16,82
1/1/17,84
