date,deleting social media accounts index trends
1/1/11,42
2/1/11,43
3/1/11,44
4/1/11,45
5/1/11,50
6/1/11,53
7/1/11,57
8/1/11,60
9/1/11,57
10/1/11,55
11/1/11,54
12/1/11,56
1/1/12,59
2/1/12,58
3/1/12,56
4/1/12,58
5/1/12,60
6/1/12,63
7/1/12,65
8/1/12,66
9/1/12,63
10/1/12,62
11/1/12,61
12/1/12,66
1/1/13,66
2/1/13,66
3/1/13,66
4/1/13,66
5/1/13,65
6/1/13,68
7/1/13,71
8/1/13,70
9/1/13,65
10/1/13,65
11/1/13,65
12/1/13,69
1/1/14,74
2/1/14,70
3/1/14,70
4/1/14,71
5/1/14,73
6/1/14,71
7/1/14,72
8/1/14,75
9/1/14,75
10/1/14,68
11/1/14,67
12/1/14,72
1/1/15,76
2/1/15,71
3/1/15,70
4/1/15,73
5/1/15,70
6/1/15,74
7/1/15,78
8/1/15,79
9/1/15,81
10/1/15,74
11/1/15,73
12/1/15,77
1/1/16,79
2/1/16,76
3/1/16,76
4/1/16,83
5/1/16,84
6/1/16,89
7/1/16,95
8/1/16,91
9/1/16,88
10/1/16,89
11/1/16,94
12/1/16,97
1/1/17,100
