date,search anonimity index trends
1/1/11,35
2/1/11,33
3/1/11,33
4/1/11,35
5/1/11,36
6/1/11,42
7/1/11,44
8/1/11,45
9/1/11,45
10/1/11,46
11/1/11,46
12/1/11,47
1/1/12,53
2/1/12,52
3/1/12,53
4/1/12,52
5/1/12,53
6/1/12,54
7/1/12,54
8/1/12,57
9/1/12,60
10/1/12,60
11/1/12,58
12/1/12,64
1/1/13,65
2/1/13,62
3/1/13,64
4/1/13,68
5/1/13,65
6/1/13,71
7/1/13,75
8/1/13,73
9/1/13,90
10/1/13,86
11/1/13,83
12/1/13,91
1/1/14,91
2/1/14,84
3/1/14,85
4/1/14,81
5/1/14,88
6/1/14,86
7/1/14,92
8/1/14,97
9/1/14,100
10/1/14,96
11/1/14,88
12/1/14,88
1/1/15,85
2/1/15,79
3/1/15,80
4/1/15,82
5/1/15,78
6/1/15,83
7/1/15,87
8/1/15,97
9/1/15,91
10/1/15,87
11/1/15,90
12/1/15,94
1/1/16,91
2/1/16,84
3/1/16,80
4/1/16,83
5/1/16,84
6/1/16,81
7/1/16,87
8/1/16,85
9/1/16,90
10/1/16,85
11/1/16,87
12/1/16,85
1/1/17,88
