date,deleting apps index trend
1/1/11,50
2/1/11,46
3/1/11,43
4/1/11,46
5/1/11,47
6/1/11,52
7/1/11,58
8/1/11,61
9/1/11,58
10/1/11,59
11/1/11,61
12/1/11,64
1/1/12,66
2/1/12,63
3/1/12,63
4/1/12,63
5/1/12,61
6/1/12,64
7/1/12,67
8/1/12,69
9/1/12,66
10/1/12,63
11/1/12,61
12/1/12,70
1/1/13,70
2/1/13,70
3/1/13,66
4/1/13,66
5/1/13,66
6/1/13,70
7/1/13,72
8/1/13,73
9/1/13,68
10/1/13,66
11/1/13,67
12/1/13,73
1/1/14,78
2/1/14,74
3/1/14,73
4/1/14,73
5/1/14,72
6/1/14,76
7/1/14,79
8/1/14,82
9/1/14,76
10/1/14,73
11/1/14,73
12/1/14,76
1/1/15,79
2/1/15,74
3/1/15,73
4/1/15,72
5/1/15,72
6/1/15,78
7/1/15,84
8/1/15,85
9/1/15,80
10/1/15,76
11/1/15,74
12/1/15,80
1/1/16,85
2/1/16,81
3/1/16,79
4/1/16,80
5/1/16,81
6/1/16,91
7/1/16,99
8/1/16,93
9/1/16,89
10/1/16,91
11/1/16,94
12/1/16,97
1/1/17,100
