date,how to record skype calls on android,skype privacy policy
2011-01-01,0,35
2011-02-01,0,56
2011-03-01,48,41
2011-04-01,0,53
2011-05-01,0,25
2011-06-01,0,26
2011-07-01,0,51
2011-08-01,0,24
2011-09-01,0,54
2011-10-01,0,22
2011-11-01,0,44
2011-12-01,0,29
2012-01-01,20,27
2012-02-01,27,42
2012-03-01,19,49
2012-04-01,20,48
2012-05-01,19,67
2012-06-01,19,40
2012-07-01,32,46
2012-08-01,38,19
2012-09-01,19,19
2012-10-01,52,35
2012-11-01,17,18
2012-12-01,23,18
2013-01-01,21,43
2013-02-01,23,36
2013-03-01,26,42
2013-04-01,26,32
2013-05-01,31,47
2013-06-01,37,32
2013-07-01,15,42
2013-08-01,23,52
2013-09-01,45,46
2013-10-01,78,15
2013-11-01,51,40
2013-12-01,29,40
2014-01-01,36,42
2014-02-01,54,30
2014-03-01,76,27
2014-04-01,41,23
2014-05-01,69,36
2014-06-01,21,58
2014-07-01,70,20
2014-08-01,65,21
2014-09-01,48,34
2014-10-01,41,42
2014-11-01,61,14
2014-12-01,51,21
2015-01-01,61,18
2015-02-01,61,29
2015-03-01,47,26
2015-04-01,100,20
2015-05-01,55,32
2015-06-01,56,35
2015-07-01,38,26
2015-08-01,46,32
2015-09-01,37,34
2015-10-01,78,24
2015-11-01,44,25
2015-12-01,30,31
2016-01-01,58,12
2016-02-01,31,55
2016-03-01,43,33
2016-04-01,63,31
2016-05-01,43,44
2016-06-01,63,34
2016-07-01,45,23
2016-08-01,81,26
2016-09-01,76,26
2016-10-01,96,35
2016-11-01,73,27
2016-12-01,66,21
2017-01-01,89,20
