date,best skype recorder,skype privacy policy
2011-01-01,55,11
2011-02-01,76,18
2011-03-01,62,13
2011-04-01,34,17
2011-05-01,81,8
2011-06-01,52,8
2011-07-01,54,17
2011-08-01,61,8
2011-09-01,54,18
2011-10-01,61,7
2011-11-01,63,14
2011-12-01,53,9
2012-01-01,70,9
2012-02-01,66,14
2012-03-01,39,16
2012-04-01,61,16
2012-05-01,45,22
2012-06-01,76,13
2012-07-01,83,15
2012-08-01,74,6
2012-09-01,57,6
2012-10-01,66,11
2012-11-01,56,6
2012-12-01,64,6
2013-01-01,59,14
2013-02-01,97,12
2013-03-01,57,14
2013-04-01,83,10
2013-05-01,46,15
2013-06-01,58,10
2013-07-01,98,14
2013-08-01,66,17
2013-09-01,52,15
2013-10-01,46,5
2013-11-01,85,13
2013-12-01,71,13
2014-01-01,79,14
2014-02-01,64,10
2014-03-01,65,9
2014-04-01,70,8
2014-05-01,59,12
2014-06-01,67,19
2014-07-01,71,7
2014-08-01,63,7
2014-09-01,64,11
2014-10-01,81,14
2014-11-01,97,5
2014-12-01,85,7
2015-01-01,67,6
2015-02-01,100,9
2015-03-01,80,8
2015-04-01,86,6
2015-05-01,60,10
2015-06-01,77,11
2015-07-01,77,8
2015-08-01,64,10
2015-09-01,52,11
2015-10-01,75,8
2015-11-01,77,8
2015-12-01,69,10
2016-01-01,81,4
2016-02-01,57,18
2016-03-01,53,11
2016-04-01,71,10
2016-05-01,80,14
2016-06-01,50,11
2016-07-01,60,7
2016-08-01,57,9
2016-09-01,54,8
2016-10-01,76,11
2016-11-01,62,9
2016-12-01,52,7
2017-01-01,56,6
