date,how to record skype calls on iphone,skype privacy policy
2011-01-01,86,39
2011-02-01,60,62
2011-03-01,39,46
2011-04-01,39,59
2011-05-01,41,28
2011-06-01,53,29
2011-07-01,65,57
2011-08-01,53,27
2011-09-01,50,61
2011-10-01,88,25
2011-11-01,48,49
2011-12-01,59,32
2012-01-01,81,30
2012-02-01,83,47
2012-03-01,100,55
2012-04-01,22,53
2012-05-01,49,75
2012-06-01,58,45
2012-07-01,29,51
2012-08-01,42,22
2012-09-01,56,22
2012-10-01,29,39
2012-11-01,71,20
2012-12-01,71,20
2013-01-01,70,48
2013-02-01,65,40
2013-03-01,69,47
2013-04-01,41,36
2013-05-01,45,52
2013-06-01,76,36
2013-07-01,46,47
2013-08-01,60,58
2013-09-01,45,52
2013-10-01,69,16
2013-11-01,65,44
2013-12-01,56,44
2014-01-01,40,47
2014-02-01,50,34
2014-03-01,55,30
2014-04-01,36,26
2014-05-01,47,40
2014-06-01,46,65
2014-07-01,50,23
2014-08-01,50,23
2014-09-01,43,38
2014-10-01,51,47
2014-11-01,42,16
2014-12-01,31,24
2015-01-01,43,20
2015-02-01,78,32
2015-03-01,52,29
2015-04-01,53,22
2015-05-01,71,36
2015-06-01,34,39
2015-07-01,66,29
2015-08-01,75,36
2015-09-01,23,38
2015-10-01,83,27
2015-11-01,67,27
2015-12-01,41,35
2016-01-01,73,13
2016-02-01,30,61
2016-03-01,52,37
2016-04-01,29,34
2016-05-01,52,49
2016-06-01,50,38
2016-07-01,50,25
2016-08-01,66,29
2016-09-01,37,29
2016-10-01,46,39
2016-11-01,47,30
2016-12-01,47,24
2017-01-01,48,22
