date,record skype calls mac,skype privacy policy
2011-01-01,33,5
2011-02-01,82,11
2011-03-01,63,5
2011-04-01,55,11
2011-05-01,44,5
2011-06-01,48,8
2011-07-01,43,10
2011-08-01,50,5
2011-09-01,57,14
2011-10-01,65,4
2011-11-01,44,9
2011-12-01,70,4
2012-01-01,81,6
2012-02-01,90,6
2012-03-01,83,8
2012-04-01,67,8
2012-05-01,66,13
2012-06-01,73,12
2012-07-01,87,10
2012-08-01,93,4
2012-09-01,80,4
2012-10-01,57,4
2012-11-01,52,4
2012-12-01,70,4
2013-01-01,100,10
2013-02-01,68,11
2013-03-01,75,8
2013-04-01,74,6
2013-05-01,70,9
2013-06-01,68,6
2013-07-01,67,11
2013-08-01,75,13
2013-09-01,62,11
2013-10-01,57,3
2013-11-01,69,6
2013-12-01,54,7
2014-01-01,75,6
2014-02-01,66,6
2014-03-01,70,4
2014-04-01,66,4
2014-05-01,60,6
2014-06-01,70,10
2014-07-01,48,5
2014-08-01,55,5
2014-09-01,52,6
2014-10-01,57,8
2014-11-01,44,3
2014-12-01,36,3
2015-01-01,38,4
2015-02-01,47,6
2015-03-01,49,5
2015-04-01,53,5
2015-05-01,37,5
2015-06-01,33,9
2015-07-01,40,4
2015-08-01,33,7
2015-09-01,40,8
2015-10-01,53,4
2015-11-01,47,4
2015-12-01,45,6
2016-01-01,51,2
2016-02-01,57,11
2016-03-01,39,7
2016-04-01,48,5
2016-05-01,44,9
2016-06-01,35,9
2016-07-01,37,5
2016-08-01,35,3
2016-09-01,38,3
2016-10-01,17,5
2016-11-01,32,5
2016-12-01,26,5
2017-01-01,32,6
