date,record skype video free,skype privacy policy
2011-01-01,52,4
2011-02-01,55,7
2011-03-01,37,5
2011-04-01,40,6
2011-05-01,61,3
2011-06-01,71,3
2011-07-01,71,6
2011-08-01,67,3
2011-09-01,76,7
2011-10-01,70,3
2011-11-01,63,5
2011-12-01,62,4
2012-01-01,79,3
2012-02-01,70,5
2012-03-01,78,6
2012-04-01,76,6
2012-05-01,80,8
2012-06-01,61,5
2012-07-01,85,6
2012-08-01,100,2
2012-09-01,85,2
2012-10-01,84,4
2012-11-01,76,2
2012-12-01,60,2
2013-01-01,65,5
2013-02-01,70,4
2013-03-01,59,5
2013-04-01,56,4
2013-05-01,51,6
2013-06-01,61,4
2013-07-01,47,5
2013-08-01,65,6
2013-09-01,46,6
2013-10-01,47,2
2013-11-01,47,5
2013-12-01,46,5
2014-01-01,50,5
2014-02-01,49,4
2014-03-01,41,3
2014-04-01,33,3
2014-05-01,36,4
2014-06-01,36,7
2014-07-01,32,2
2014-08-01,49,2
2014-09-01,41,4
2014-10-01,34,5
2014-11-01,45,2
2014-12-01,37,3
2015-01-01,38,2
2015-02-01,39,3
2015-03-01,45,3
2015-04-01,43,2
2015-05-01,41,4
2015-06-01,45,4
2015-07-01,42,3
2015-08-01,30,4
2015-09-01,35,4
2015-10-01,38,3
2015-11-01,27,3
2015-12-01,33,4
2016-01-01,32,1
2016-02-01,28,7
2016-03-01,29,4
2016-04-01,26,4
2016-05-01,23,5
2016-06-01,23,4
2016-07-01,25,3
2016-08-01,28,3
2016-09-01,23,3
2016-10-01,23,4
2016-11-01,23,3
2016-12-01,20,3
2017-01-01,19,2
