date,Delete youtube history
2011-01-01,23
2011-02-01,21
2011-03-01,22
2011-04-01,22
2011-05-01,18
2011-06-01,25
2011-07-01,32
2011-08-01,28
2011-09-01,30
2011-10-01,32
2011-11-01,39
2011-12-01,78
2012-01-01,62
2012-02-01,56
2012-03-01,62
2012-04-01,49
2012-05-01,41
2012-06-01,40
2012-07-01,44
2012-08-01,44
2012-09-01,59
2012-10-01,60
2012-11-01,64
2012-12-01,91
2013-01-01,91
2013-02-01,84
2013-03-01,81
2013-04-01,93
2013-05-01,91
2013-06-01,88
2013-07-01,92
2013-08-01,100
2013-09-01,85
2013-10-01,70
2013-11-01,70
2013-12-01,82
2014-01-01,79
2014-02-01,61
2014-03-01,65
2014-04-01,73
2014-05-01,81
2014-06-01,86
2014-07-01,79
2014-08-01,93
2014-09-01,88
2014-10-01,84
2014-11-01,86
2014-12-01,93
2015-01-01,77
2015-02-01,69
2015-03-01,62
2015-04-01,60
2015-05-01,61
2015-06-01,60
2015-07-01,66
2015-08-01,65
2015-09-01,53
2015-10-01,46
2015-11-01,48
2015-12-01,51
2016-01-01,55
2016-02-01,58
2016-03-01,50
2016-04-01,50
2016-05-01,52
2016-06-01,54
2016-07-01,53
2016-08-01,53
2016-09-01,51
2016-10-01,48
2016-11-01,55
2016-12-01,55
2017-01-01,55
