date,tor browser mac,search without history
2011-01-01,9,13
2011-02-01,8,9
2011-03-01,12,7
2011-04-01,12,9
2011-05-01,5,7
2011-06-01,20,11
2011-07-01,13,12
2011-08-01,17,7
2011-09-01,15,13
2011-10-01,16,8
2011-11-01,22,12
2011-12-01,16,7
2012-01-01,26,9
2012-02-01,28,13
2012-03-01,28,10
2012-04-01,33,14
2012-05-01,35,11
2012-06-01,39,13
2012-07-01,32,13
2012-08-01,43,13
2012-09-01,48,12
2012-10-01,59,14
2012-11-01,59,10
2012-12-01,44,11
2013-01-01,50,15
2013-02-01,48,14
2013-03-01,58,15
2013-04-01,59,12
2013-05-01,61,11
2013-06-01,58,17
2013-07-01,54,13
2013-08-01,75,17
2013-09-01,63,17
2013-10-01,70,15
2013-11-01,84,16
2013-12-01,80,13
2014-01-01,79,15
2014-02-01,86,16
2014-03-01,90,16
2014-04-01,82,17
2014-05-01,93,14
2014-06-01,77,15
2014-07-01,71,16
2014-08-01,85,13
2014-09-01,95,18
2014-10-01,93,24
2014-11-01,81,15
2014-12-01,90,20
2015-01-01,86,22
2015-02-01,74,14
2015-03-01,76,18
2015-04-01,75,20
2015-05-01,64,19
2015-06-01,62,18
2015-07-01,69,18
2015-08-01,100,19
2015-09-01,82,19
2015-10-01,84,18
2015-11-01,84,18
2015-12-01,85,19
2016-01-01,85,19
2016-02-01,79,25
2016-03-01,70,21
2016-04-01,72,21
2016-05-01,73,17
2016-06-01,72,21
2016-07-01,69,19
2016-08-01,83,24
2016-09-01,73,21
2016-10-01,84,18
2016-11-01,79,19
2016-12-01,80,18
2017-01-01,96,24
