date,private browsing internet explorer,search without history
2011-01-01,82,20
2011-02-01,80,14
2011-03-01,88,10
2011-04-01,87,13
2011-05-01,85,11
2011-06-01,100,16
2011-07-01,85,18
2011-08-01,84,11
2011-09-01,70,19
2011-10-01,68,12
2011-11-01,73,18
2011-12-01,73,11
2012-01-01,74,14
2012-02-01,73,19
2012-03-01,76,16
2012-04-01,57,21
2012-05-01,82,16
2012-06-01,73,20
2012-07-01,74,19
2012-08-01,64,20
2012-09-01,76,18
2012-10-01,79,21
2012-11-01,66,15
2012-12-01,64,17
2013-01-01,68,22
2013-02-01,60,20
2013-03-01,72,22
2013-04-01,65,17
2013-05-01,62,16
2013-06-01,62,25
2013-07-01,64,19
2013-08-01,66,26
2013-09-01,63,26
2013-10-01,65,22
2013-11-01,58,25
2013-12-01,65,19
2014-01-01,60,23
2014-02-01,62,25
2014-03-01,68,24
2014-04-01,45,25
2014-05-01,52,21
2014-06-01,54,23
2014-07-01,52,24
2014-08-01,49,20
2014-09-01,47,27
2014-10-01,54,35
2014-11-01,44,22
2014-12-01,37,29
2015-01-01,41,32
2015-02-01,46,20
2015-03-01,47,27
2015-04-01,32,30
2015-05-01,40,29
2015-06-01,43,27
2015-07-01,50,27
2015-08-01,42,28
2015-09-01,40,28
2015-10-01,40,27
2015-11-01,33,27
2015-12-01,36,29
2016-01-01,38,28
2016-02-01,35,37
2016-03-01,30,31
2016-04-01,36,32
2016-05-01,31,26
2016-06-01,31,31
2016-07-01,24,28
2016-08-01,27,35
2016-09-01,29,31
2016-10-01,29,27
2016-11-01,26,28
2016-12-01,19,27
2017-01-01,26,36
