date,incognito mode chrome,search without history
2011-01-01,18,9
2011-02-01,25,6
2011-03-01,22,4
2011-04-01,21,6
2011-05-01,21,5
2011-06-01,23,7
2011-07-01,28,8
2011-08-01,30,5
2011-09-01,17,8
2011-10-01,26,5
2011-11-01,31,8
2011-12-01,31,5
2012-01-01,29,6
2012-02-01,35,9
2012-03-01,37,7
2012-04-01,40,9
2012-05-01,41,7
2012-06-01,37,9
2012-07-01,54,9
2012-08-01,58,9
2012-09-01,53,8
2012-10-01,65,9
2012-11-01,65,7
2012-12-01,54,8
2013-01-01,55,10
2013-02-01,59,9
2013-03-01,61,10
2013-04-01,87,8
2013-05-01,78,7
2013-06-01,91,11
2013-07-01,89,9
2013-08-01,81,11
2013-09-01,84,11
2013-10-01,81,10
2013-11-01,84,11
2013-12-01,92,8
2014-01-01,99,10
2014-02-01,90,11
2014-03-01,87,10
2014-04-01,78,11
2014-05-01,67,9
2014-06-01,80,10
2014-07-01,95,11
2014-08-01,88,9
2014-09-01,86,12
2014-10-01,87,16
2014-11-01,79,10
2014-12-01,79,13
2015-01-01,90,14
2015-02-01,85,9
2015-03-01,77,12
2015-04-01,78,13
2015-05-01,75,13
2015-06-01,83,12
2015-07-01,82,12
2015-08-01,84,12
2015-09-01,83,13
2015-10-01,83,12
2015-11-01,80,12
2015-12-01,83,13
2016-01-01,79,12
2016-02-01,80,16
2016-03-01,78,14
2016-04-01,76,14
2016-05-01,83,12
2016-06-01,72,14
2016-07-01,77,12
2016-08-01,76,16
2016-09-01,89,14
2016-10-01,80,12
2016-11-01,91,13
2016-12-01,100,12
2017-01-01,91,16
