date,epic browser review,search without history
2011-01-01,18,53
2011-02-01,6,37
2011-03-01,8,27
2011-04-01,9,35
2011-05-01,12,29
2011-06-01,6,44
2011-07-01,6,48
2011-08-01,7,30
2011-09-01,8,51
2011-10-01,10,33
2011-11-01,5,49
2011-12-01,5,29
2012-01-01,9,38
2012-02-01,5,52
2012-03-01,9,42
2012-04-01,7,56
2012-05-01,7,43
2012-06-01,9,53
2012-07-01,7,52
2012-08-01,5,53
2012-09-01,5,48
2012-10-01,4,55
2012-11-01,4,41
2012-12-01,6,46
2013-01-01,5,60
2013-02-01,4,55
2013-03-01,4,59
2013-04-01,4,47
2013-05-01,6,43
2013-06-01,8,67
2013-07-01,4,52
2013-08-01,4,69
2013-09-01,13,70
2013-10-01,17,59
2013-11-01,19,66
2013-12-01,14,51
2014-01-01,12,62
2014-02-01,9,66
2014-03-01,14,64
2014-04-01,22,67
2014-05-01,13,57
2014-06-01,7,61
2014-07-01,6,65
2014-08-01,13,53
2014-09-01,17,72
2014-10-01,8,95
2014-11-01,10,60
2014-12-01,9,78
2015-01-01,11,87
2015-02-01,10,55
2015-03-01,15,74
2015-04-01,14,80
2015-05-01,11,77
2015-06-01,14,72
2015-07-01,14,72
2015-08-01,16,75
2015-09-01,12,76
2015-10-01,14,74
2015-11-01,8,72
2015-12-01,17,77
2016-01-01,9,75
2016-02-01,17,100
2016-03-01,15,84
2016-04-01,17,85
2016-05-01,13,70
2016-06-01,24,83
2016-07-01,13,75
2016-08-01,15,95
2016-09-01,20,84
2016-10-01,21,73
2016-11-01,11,76
2016-12-01,9,73
2017-01-01,21,96
