date,best private browser android,search without history
2011-01-01,0,53
2011-02-01,6,37
2011-03-01,6,27
2011-04-01,10,35
2011-05-01,15,29
2011-06-01,6,44
2011-07-01,9,48
2011-08-01,17,30
2011-09-01,22,51
2011-10-01,8,33
2011-11-01,5,49
2011-12-01,10,29
2012-01-01,5,38
2012-02-01,5,52
2012-03-01,11,42
2012-04-01,10,56
2012-05-01,9,43
2012-06-01,12,53
2012-07-01,5,52
2012-08-01,14,53
2012-09-01,7,48
2012-10-01,8,55
2012-11-01,12,41
2012-12-01,19,46
2013-01-01,18,60
2013-02-01,8,55
2013-03-01,12,59
2013-04-01,14,47
2013-05-01,6,43
2013-06-01,11,67
2013-07-01,10,52
2013-08-01,13,69
2013-09-01,14,70
2013-10-01,10,59
2013-11-01,9,66
2013-12-01,9,51
2014-01-01,12,62
2014-02-01,12,66
2014-03-01,7,64
2014-04-01,12,67
2014-05-01,10,57
2014-06-01,15,61
2014-07-01,11,65
2014-08-01,8,53
2014-09-01,22,72
2014-10-01,14,95
2014-11-01,18,60
2014-12-01,10,78
2015-01-01,11,87
2015-02-01,10,55
2015-03-01,11,74
2015-04-01,14,80
2015-05-01,8,77
2015-06-01,12,72
2015-07-01,12,72
2015-08-01,15,75
2015-09-01,16,76
2015-10-01,13,74
2015-11-01,11,72
2015-12-01,18,77
2016-01-01,22,75
2016-02-01,11,100
2016-03-01,18,84
2016-04-01,13,85
2016-05-01,11,70
2016-06-01,18,83
2016-07-01,14,75
2016-08-01,18,95
2016-09-01,16,84
2016-10-01,10,73
2016-11-01,13,76
2016-12-01,25,73
2017-01-01,22,96
