date,incognito google chrome,search without history
2011-01-01,43,5
2011-02-01,51,4
2011-03-01,45,3
2011-04-01,43,3
2011-05-01,54,3
2011-06-01,51,4
2011-07-01,56,5
2011-08-01,66,3
2011-09-01,50,5
2011-10-01,67,3
2011-11-01,61,5
2011-12-01,60,3
2012-01-01,62,4
2012-02-01,71,5
2012-03-01,73,4
2012-04-01,72,5
2012-05-01,86,4
2012-06-01,84,5
2012-07-01,100,5
2012-08-01,98,5
2012-09-01,84,5
2012-10-01,84,5
2012-11-01,77,4
2012-12-01,79,4
2013-01-01,74,6
2013-02-01,75,5
2013-03-01,74,6
2013-04-01,92,5
2013-05-01,86,4
2013-06-01,95,6
2013-07-01,92,5
2013-08-01,89,7
2013-09-01,94,7
2013-10-01,83,6
2013-11-01,90,6
2013-12-01,82,5
2014-01-01,100,6
2014-02-01,96,6
2014-03-01,79,6
2014-04-01,84,7
2014-05-01,76,5
2014-06-01,81,6
2014-07-01,90,6
2014-08-01,77,5
2014-09-01,84,7
2014-10-01,80,9
2014-11-01,70,6
2014-12-01,77,8
2015-01-01,93,8
2015-02-01,75,5
2015-03-01,68,7
2015-04-01,70,8
2015-05-01,70,7
2015-06-01,68,7
2015-07-01,71,7
2015-08-01,73,7
2015-09-01,70,7
2015-10-01,70,7
2015-11-01,64,7
2015-12-01,68,7
2016-01-01,63,7
2016-02-01,61,10
2016-03-01,63,8
2016-04-01,62,8
2016-05-01,62,7
2016-06-01,59,8
2016-07-01,62,7
2016-08-01,62,9
2016-09-01,73,8
2016-10-01,61,7
2016-11-01,65,7
2016-12-01,70,7
2017-01-01,65,9
