date,private search engine,search without history
2011-01-01,42,18
2011-02-01,58,12
2011-03-01,34,9
2011-04-01,36,12
2011-05-01,39,10
2011-06-01,34,15
2011-07-01,33,16
2011-08-01,46,10
2011-09-01,38,17
2011-10-01,39,11
2011-11-01,37,17
2011-12-01,34,10
2012-01-01,64,13
2012-02-01,82,18
2012-03-01,82,14
2012-04-01,55,19
2012-05-01,65,15
2012-06-01,61,18
2012-07-01,51,18
2012-08-01,55,18
2012-09-01,60,16
2012-10-01,52,19
2012-11-01,45,14
2012-12-01,55,15
2013-01-01,49,20
2013-02-01,49,18
2013-03-01,57,20
2013-04-01,65,16
2013-05-01,47,15
2013-06-01,100,23
2013-07-01,92,18
2013-08-01,72,24
2013-09-01,72,24
2013-10-01,82,20
2013-11-01,71,22
2013-12-01,73,17
2014-01-01,85,21
2014-02-01,58,22
2014-03-01,74,22
2014-04-01,72,23
2014-05-01,66,19
2014-06-01,81,21
2014-07-01,67,22
2014-08-01,72,18
2014-09-01,72,24
2014-10-01,71,32
2014-11-01,72,20
2014-12-01,66,27
2015-01-01,62,30
2015-02-01,66,18
2015-03-01,53,25
2015-04-01,63,27
2015-05-01,57,26
2015-06-01,71,24
2015-07-01,59,24
2015-08-01,69,25
2015-09-01,65,26
2015-10-01,62,25
2015-11-01,61,24
2015-12-01,65,26
2016-01-01,61,25
2016-02-01,59,34
2016-03-01,50,29
2016-04-01,51,29
2016-05-01,57,24
2016-06-01,49,28
2016-07-01,55,25
2016-08-01,52,32
2016-09-01,49,28
2016-10-01,48,25
2016-11-01,58,26
2016-12-01,56,25
2017-01-01,43,32
