date,inprivate browsing chrome,search without history
2011-01-01,45,53
2011-02-01,26,37
2011-03-01,16,27
2011-04-01,21,35
2011-05-01,41,29
2011-06-01,48,44
2011-07-01,32,48
2011-08-01,45,30
2011-09-01,71,51
2011-10-01,49,33
2011-11-01,57,49
2011-12-01,46,29
2012-01-01,62,38
2012-02-01,65,52
2012-03-01,62,42
2012-04-01,71,56
2012-05-01,58,43
2012-06-01,72,53
2012-07-01,71,52
2012-08-01,30,53
2012-09-01,57,48
2012-10-01,50,55
2012-11-01,54,41
2012-12-01,65,46
2013-01-01,41,60
2013-02-01,59,55
2013-03-01,51,59
2013-04-01,53,47
2013-05-01,45,43
2013-06-01,39,67
2013-07-01,43,52
2013-08-01,38,69
2013-09-01,39,70
2013-10-01,49,59
2013-11-01,49,66
2013-12-01,21,51
2014-01-01,39,62
2014-02-01,38,66
2014-03-01,30,64
2014-04-01,26,67
2014-05-01,33,57
2014-06-01,35,61
2014-07-01,35,65
2014-08-01,27,53
2014-09-01,37,72
2014-10-01,35,95
2014-11-01,36,60
2014-12-01,34,78
2015-01-01,28,87
2015-02-01,31,55
2015-03-01,26,74
2015-04-01,36,80
2015-05-01,20,77
2015-06-01,26,72
2015-07-01,30,72
2015-08-01,23,75
2015-09-01,32,76
2015-10-01,40,74
2015-11-01,14,72
2015-12-01,24,77
2016-01-01,23,75
2016-02-01,25,100
2016-03-01,17,84
2016-04-01,16,85
2016-05-01,23,70
2016-06-01,21,83
2016-07-01,33,75
2016-08-01,18,95
2016-09-01,18,84
2016-10-01,12,73
2016-11-01,18,76
2016-12-01,15,73
2017-01-01,16,96
