date,chrome incognito shortcut android,search without history
2011-01-01,0,56
2011-02-01,0,34
2011-03-01,0,22
2011-04-01,0,27
2011-05-01,0,31
2011-06-01,0,37
2011-07-01,0,48
2011-08-01,0,24
2011-09-01,0,50
2011-10-01,0,27
2011-11-01,0,40
2011-12-01,0,17
2012-01-01,0,41
2012-02-01,0,56
2012-03-01,0,49
2012-04-01,0,62
2012-05-01,0,47
2012-06-01,0,56
2012-07-01,4,44
2012-08-01,4,52
2012-09-01,4,49
2012-10-01,4,55
2012-11-01,4,43
2012-12-01,0,43
2013-01-01,0,59
2013-02-01,0,52
2013-03-01,0,51
2013-04-01,0,49
2013-05-01,0,35
2013-06-01,4,59
2013-07-01,7,43
2013-08-01,3,77
2013-09-01,3,62
2013-10-01,3,57
2013-11-01,3,58
2013-12-01,3,50
2014-01-01,3,71
2014-02-01,3,66
2014-03-01,3,54
2014-04-01,6,56
2014-05-01,4,54
2014-06-01,4,65
2014-07-01,3,55
2014-08-01,3,46
2014-09-01,3,69
2014-10-01,3,91
2014-11-01,3,51
2014-12-01,3,76
2015-01-01,6,82
2015-02-01,3,49
2015-03-01,3,70
2015-04-01,9,70
2015-05-01,3,59
2015-06-01,9,65
2015-07-01,3,67
2015-08-01,4,65
2015-09-01,6,72
2015-10-01,3,68
2015-11-01,3,77
2015-12-01,8,76
2016-01-01,8,83
2016-02-01,5,93
2016-03-01,5,79
2016-04-01,6,79
2016-05-01,8,71
2016-06-01,4,89
2016-07-01,4,71
2016-08-01,4,100
2016-09-01,7,76
2016-10-01,2,72
2016-11-01,5,75
2016-12-01,4,70
2017-01-01,7,95
