date,search without history
2011-01-01,53
2011-02-01,37
2011-03-01,27
2011-04-01,35
2011-05-01,29
2011-06-01,44
2011-07-01,48
2011-08-01,30
2011-09-01,51
2011-10-01,33
2011-11-01,49
2011-12-01,29
2012-01-01,38
2012-02-01,52
2012-03-01,42
2012-04-01,56
2012-05-01,43
2012-06-01,53
2012-07-01,52
2012-08-01,53
2012-09-01,48
2012-10-01,55
2012-11-01,41
2012-12-01,46
2013-01-01,60
2013-02-01,55
2013-03-01,59
2013-04-01,47
2013-05-01,43
2013-06-01,67
2013-07-01,52
2013-08-01,69
2013-09-01,70
2013-10-01,59
2013-11-01,66
2013-12-01,51
2014-01-01,62
2014-02-01,66
2014-03-01,64
2014-04-01,67
2014-05-01,57
2014-06-01,61
2014-07-01,65
2014-08-01,53
2014-09-01,72
2014-10-01,95
2014-11-01,60
2014-12-01,78
2015-01-01,87
2015-02-01,55
2015-03-01,74
2015-04-01,80
2015-05-01,77
2015-06-01,72
2015-07-01,72
2015-08-01,75
2015-09-01,76
2015-10-01,74
2015-11-01,72
2015-12-01,77
2016-01-01,75
2016-02-01,100
2016-03-01,84
2016-04-01,85
2016-05-01,70
2016-06-01,83
2016-07-01,75
2016-08-01,95
2016-09-01,84
2016-10-01,73
2016-11-01,76
2016-12-01,73
2017-01-01,96
