date,google incognito iphone,search without history
2011-01-01,6,53
2011-02-01,13,37
2011-03-01,6,27
2011-04-01,6,35
2011-05-01,6,29
2011-06-01,9,44
2011-07-01,8,48
2011-08-01,17,30
2011-09-01,5,51
2011-10-01,17,33
2011-11-01,10,49
2011-12-01,8,29
2012-01-01,6,38
2012-02-01,10,52
2012-03-01,12,42
2012-04-01,12,56
2012-05-01,12,43
2012-06-01,11,53
2012-07-01,14,52
2012-08-01,21,53
2012-09-01,16,48
2012-10-01,18,55
2012-11-01,8,41
2012-12-01,18,46
2013-01-01,17,60
2013-02-01,15,55
2013-03-01,14,59
2013-04-01,23,47
2013-05-01,16,43
2013-06-01,16,67
2013-07-01,19,52
2013-08-01,26,69
2013-09-01,16,70
2013-10-01,11,59
2013-11-01,10,66
2013-12-01,10,51
2014-01-01,13,62
2014-02-01,22,66
2014-03-01,20,64
2014-04-01,17,67
2014-05-01,16,57
2014-06-01,17,61
2014-07-01,30,65
2014-08-01,22,53
2014-09-01,20,72
2014-10-01,18,95
2014-11-01,13,60
2014-12-01,9,78
2015-01-01,17,87
2015-02-01,23,55
2015-03-01,22,74
2015-04-01,18,80
2015-05-01,20,77
2015-06-01,23,72
2015-07-01,39,72
2015-08-01,19,75
2015-09-01,30,76
2015-10-01,25,74
2015-11-01,20,72
2015-12-01,30,77
2016-01-01,31,75
2016-02-01,28,100
2016-03-01,26,84
2016-04-01,28,85
2016-05-01,21,70
2016-06-01,25,83
2016-07-01,34,75
2016-08-01,46,95
2016-09-01,62,84
2016-10-01,30,73
2016-11-01,32,76
2016-12-01,49,73
2017-01-01,36,96
