date,epic privacy browser,search without history
2011-01-01,0,34
2011-02-01,0,21
2011-03-01,0,14
2011-04-01,0,16
2011-05-01,0,19
2011-06-01,3,23
2011-07-01,0,29
2011-08-01,0,15
2011-09-01,0,30
2011-10-01,0,17
2011-11-01,0,24
2011-12-01,0,10
2012-01-01,0,25
2012-02-01,0,34
2012-03-01,0,30
2012-04-01,0,38
2012-05-01,0,29
2012-06-01,0,34
2012-07-01,0,27
2012-08-01,0,32
2012-09-01,0,30
2012-10-01,0,34
2012-11-01,0,26
2012-12-01,0,26
2013-01-01,0,36
2013-02-01,0,32
2013-03-01,0,31
2013-04-01,0,30
2013-05-01,0,21
2013-06-01,0,36
2013-07-01,0,26
2013-08-01,2,47
2013-09-01,43,38
2013-10-01,20,35
2013-11-01,21,35
2013-12-01,21,30
2014-01-01,24,43
2014-02-01,24,40
2014-03-01,28,33
2014-04-01,32,34
2014-05-01,31,33
2014-06-01,34,40
2014-07-01,28,33
2014-08-01,35,28
2014-09-01,30,42
2014-10-01,37,55
2014-11-01,56,31
2014-12-01,56,46
2015-01-01,76,50
2015-02-01,49,30
2015-03-01,68,43
2015-04-01,55,42
2015-05-01,54,36
2015-06-01,72,40
2015-07-01,67,41
2015-08-01,80,40
2015-09-01,71,44
2015-10-01,67,41
2015-11-01,71,47
2015-12-01,65,46
2016-01-01,73,51
2016-02-01,82,57
2016-03-01,66,48
2016-04-01,76,48
2016-05-01,70,43
2016-06-01,67,54
2016-07-01,71,43
2016-08-01,66,61
2016-09-01,75,46
2016-10-01,79,44
2016-11-01,100,46
2016-12-01,78,42
2017-01-01,85,58
