date,ixquick search engine,search without history
2011-01-01,23,40
2011-02-01,24,28
2011-03-01,21,21
2011-04-01,14,27
2011-05-01,25,22
2011-06-01,12,33
2011-07-01,16,36
2011-08-01,8,23
2011-09-01,19,39
2011-10-01,14,25
2011-11-01,21,37
2011-12-01,8,22
2012-01-01,34,29
2012-02-01,36,39
2012-03-01,33,32
2012-04-01,29,43
2012-05-01,19,33
2012-06-01,17,40
2012-07-01,22,40
2012-08-01,12,40
2012-09-01,16,37
2012-10-01,25,42
2012-11-01,26,31
2012-12-01,22,35
2013-01-01,54,46
2013-02-01,37,41
2013-03-01,30,45
2013-04-01,31,35
2013-05-01,33,33
2013-06-01,52,51
2013-07-01,52,39
2013-08-01,36,53
2013-09-01,39,53
2013-10-01,31,45
2013-11-01,34,50
2013-12-01,28,39
2014-01-01,51,47
2014-02-01,48,50
2014-03-01,51,48
2014-04-01,41,51
2014-05-01,94,43
2014-06-01,42,46
2014-07-01,37,49
2014-08-01,46,40
2014-09-01,100,54
2014-10-01,41,72
2014-11-01,51,45
2014-12-01,41,59
2015-01-01,34,66
2015-02-01,23,41
2015-03-01,100,56
2015-04-01,29,61
2015-05-01,25,58
2015-06-01,24,54
2015-07-01,25,54
2015-08-01,23,57
2015-09-01,37,58
2015-10-01,38,56
2015-11-01,39,55
2015-12-01,20,59
2016-01-01,25,57
2016-02-01,25,76
2016-03-01,43,64
2016-04-01,22,64
2016-05-01,22,53
2016-06-01,21,63
2016-07-01,18,57
2016-08-01,32,72
2016-09-01,20,63
2016-10-01,25,55
2016-11-01,18,58
2016-12-01,22,55
2017-01-01,14,73
