date,safari incognito iphone,search without history
2011-01-01,9,53
2011-02-01,13,37
2011-03-01,9,27
2011-04-01,6,35
2011-05-01,6,29
2011-06-01,6,44
2011-07-01,18,48
2011-08-01,17,30
2011-09-01,10,51
2011-10-01,10,33
2011-11-01,16,49
2011-12-01,9,29
2012-01-01,5,38
2012-02-01,8,52
2012-03-01,5,42
2012-04-01,14,56
2012-05-01,7,43
2012-06-01,11,53
2012-07-01,16,52
2012-08-01,14,53
2012-09-01,11,48
2012-10-01,17,55
2012-11-01,12,41
2012-12-01,24,46
2013-01-01,19,60
2013-02-01,17,55
2013-03-01,18,59
2013-04-01,20,47
2013-05-01,20,43
2013-06-01,25,67
2013-07-01,28,52
2013-08-01,24,69
2013-09-01,33,70
2013-10-01,22,59
2013-11-01,20,66
2013-12-01,21,51
2014-01-01,16,62
2014-02-01,11,66
2014-03-01,17,64
2014-04-01,17,67
2014-05-01,22,57
2014-06-01,19,61
2014-07-01,22,65
2014-08-01,27,53
2014-09-01,24,72
2014-10-01,18,95
2014-11-01,33,60
2014-12-01,38,78
2015-01-01,24,87
2015-02-01,28,55
2015-03-01,27,74
2015-04-01,28,80
2015-05-01,24,77
2015-06-01,32,72
2015-07-01,37,72
2015-08-01,40,75
2015-09-01,33,76
2015-10-01,49,74
2015-11-01,30,72
2015-12-01,33,77
2016-01-01,31,75
2016-02-01,36,100
2016-03-01,21,84
2016-04-01,26,85
2016-05-01,27,70
2016-06-01,34,83
2016-07-01,30,75
2016-08-01,31,95
2016-09-01,31,84
2016-10-01,37,73
2016-11-01,39,76
2016-12-01,35,73
2017-01-01,36,96
