date,duckduckgo browser,search without history
2011-01-01,0,41
2011-02-01,5,25
2011-03-01,4,16
2011-04-01,4,20
2011-05-01,4,23
2011-06-01,4,27
2011-07-01,8,35
2011-08-01,4,17
2011-09-01,8,36
2011-10-01,9,20
2011-11-01,7,29
2011-12-01,5,13
2012-01-01,5,30
2012-02-01,10,41
2012-03-01,19,36
2012-04-01,12,45
2012-05-01,17,34
2012-06-01,11,41
2012-07-01,13,32
2012-08-01,13,38
2012-09-01,8,36
2012-10-01,14,40
2012-11-01,13,32
2012-12-01,20,32
2013-01-01,14,43
2013-02-01,16,38
2013-03-01,22,37
2013-04-01,21,36
2013-05-01,15,26
2013-06-01,55,43
2013-07-01,61,31
2013-08-01,51,56
2013-09-01,43,45
2013-10-01,37,42
2013-11-01,39,43
2013-12-01,35,36
2014-01-01,48,52
2014-02-01,33,48
2014-03-01,40,40
2014-04-01,46,41
2014-05-01,44,39
2014-06-01,50,48
2014-07-01,35,40
2014-08-01,53,34
2014-09-01,54,51
2014-10-01,53,67
2014-11-01,60,38
2014-12-01,60,55
2015-01-01,63,60
2015-02-01,51,36
2015-03-01,56,51
2015-04-01,65,51
2015-05-01,53,43
2015-06-01,70,48
2015-07-01,48,49
2015-08-01,64,47
2015-09-01,61,53
2015-10-01,88,49
2015-11-01,81,56
2015-12-01,68,55
2016-01-01,56,61
2016-02-01,61,68
2016-03-01,57,58
2016-04-01,68,58
2016-05-01,73,52
2016-06-01,65,65
2016-07-01,86,52
2016-08-01,86,73
2016-09-01,84,56
2016-10-01,78,53
2016-11-01,73,55
2016-12-01,100,51
2017-01-01,84,69
