date,best anonymous browser,search without history
2011-01-01,12,53
2011-02-01,17,37
2011-03-01,18,27
2011-04-01,23,35
2011-05-01,22,29
2011-06-01,12,44
2011-07-01,15,48
2011-08-01,23,30
2011-09-01,27,51
2011-10-01,13,33
2011-11-01,13,49
2011-12-01,14,29
2012-01-01,29,38
2012-02-01,21,52
2012-03-01,23,42
2012-04-01,13,56
2012-05-01,10,43
2012-06-01,17,53
2012-07-01,15,52
2012-08-01,21,53
2012-09-01,14,48
2012-10-01,21,55
2012-11-01,19,41
2012-12-01,19,46
2013-01-01,15,60
2013-02-01,17,55
2013-03-01,22,59
2013-04-01,21,47
2013-05-01,23,43
2013-06-01,23,67
2013-07-01,25,52
2013-08-01,21,69
2013-09-01,25,70
2013-10-01,14,59
2013-11-01,20,66
2013-12-01,24,51
2014-01-01,28,62
2014-02-01,23,66
2014-03-01,21,64
2014-04-01,21,67
2014-05-01,26,57
2014-06-01,22,61
2014-07-01,16,65
2014-08-01,23,53
2014-09-01,33,72
2014-10-01,22,95
2014-11-01,34,60
2014-12-01,29,78
2015-01-01,24,87
2015-02-01,23,55
2015-03-01,27,74
2015-04-01,28,80
2015-05-01,19,77
2015-06-01,18,72
2015-07-01,24,72
2015-08-01,36,75
2015-09-01,22,76
2015-10-01,22,74
2015-11-01,28,72
2015-12-01,28,77
2016-01-01,38,75
2016-02-01,25,100
2016-03-01,25,84
2016-04-01,26,85
2016-05-01,28,70
2016-06-01,23,83
2016-07-01,29,75
2016-08-01,27,95
2016-09-01,28,84
2016-10-01,19,73
2016-11-01,20,76
2016-12-01,23,73
2017-01-01,24,96
