date,google account history,search without history
2011-01-01,24,5
2011-02-01,21,4
2011-03-01,19,3
2011-04-01,20,3
2011-05-01,24,3
2011-06-01,26,4
2011-07-01,36,5
2011-08-01,40,3
2011-09-01,47,5
2011-10-01,49,3
2011-11-01,43,5
2011-12-01,37,3
2012-01-01,38,4
2012-02-01,72,5
2012-03-01,51,4
2012-04-01,29,5
2012-05-01,34,4
2012-06-01,29,5
2012-07-01,27,5
2012-08-01,35,5
2012-09-01,33,5
2012-10-01,38,5
2012-11-01,35,4
2012-12-01,39,4
2013-01-01,43,6
2013-02-01,40,5
2013-03-01,41,6
2013-04-01,45,5
2013-05-01,45,4
2013-06-01,48,6
2013-07-01,55,5
2013-08-01,58,7
2013-09-01,53,7
2013-10-01,50,6
2013-11-01,55,6
2013-12-01,59,5
2014-01-01,67,6
2014-02-01,61,6
2014-03-01,60,6
2014-04-01,63,7
2014-05-01,59,5
2014-06-01,59,6
2014-07-01,58,6
2014-08-01,63,5
2014-09-01,64,7
2014-10-01,66,9
2014-11-01,62,6
2014-12-01,69,8
2015-01-01,72,8
2015-02-01,76,5
2015-03-01,76,7
2015-04-01,86,8
2015-05-01,93,7
2015-06-01,95,7
2015-07-01,96,7
2015-08-01,98,7
2015-09-01,100,7
2015-10-01,94,7
2015-11-01,89,7
2015-12-01,89,7
2016-01-01,93,7
2016-02-01,95,10
2016-03-01,99,8
2016-04-01,96,8
2016-05-01,91,7
2016-06-01,86,8
2016-07-01,99,7
2016-08-01,90,9
2016-09-01,85,8
2016-10-01,97,7
2016-11-01,97,7
2016-12-01,86,7
2017-01-01,89,9
