date,duckduckgo review,search without history
2011-01-01,16,42
2011-02-01,12,29
2011-03-01,12,22
2011-04-01,15,28
2011-05-01,5,23
2011-06-01,13,35
2011-07-01,12,38
2011-08-01,15,24
2011-09-01,22,41
2011-10-01,15,26
2011-11-01,12,39
2011-12-01,14,23
2012-01-01,40,30
2012-02-01,38,41
2012-03-01,44,33
2012-04-01,26,45
2012-05-01,45,34
2012-06-01,17,42
2012-07-01,20,42
2012-08-01,21,42
2012-09-01,20,38
2012-10-01,10,44
2012-11-01,43,33
2012-12-01,30,36
2013-01-01,17,48
2013-02-01,16,43
2013-03-01,24,47
2013-04-01,40,37
2013-05-01,17,34
2013-06-01,35,53
2013-07-01,88,41
2013-08-01,38,55
2013-09-01,33,55
2013-10-01,28,47
2013-11-01,35,53
2013-12-01,45,40
2014-01-01,94,49
2014-02-01,37,53
2014-03-01,44,51
2014-04-01,32,53
2014-05-01,48,45
2014-06-01,74,48
2014-07-01,45,51
2014-08-01,34,42
2014-09-01,46,57
2014-10-01,89,75
2014-11-01,100,47
2014-12-01,61,62
2015-01-01,65,69
2015-02-01,36,43
2015-03-01,44,58
2015-04-01,44,64
2015-05-01,55,61
2015-06-01,43,57
2015-07-01,57,57
2015-08-01,67,59
2015-09-01,48,60
2015-10-01,52,58
2015-11-01,44,57
2015-12-01,43,61
2016-01-01,56,59
2016-02-01,52,79
2016-03-01,45,67
2016-04-01,35,67
2016-05-01,35,56
2016-06-01,46,66
2016-07-01,46,59
2016-08-01,46,75
2016-09-01,46,66
2016-10-01,47,58
2016-11-01,52,60
2016-12-01,42,58
2017-01-01,48,76
