date,chrome incognito android,search without history
2011-01-01,8,41
2011-02-01,10,28
2011-03-01,9,21
2011-04-01,5,27
2011-05-01,5,23
2011-06-01,14,34
2011-07-01,11,37
2011-08-01,9,23
2011-09-01,10,40
2011-10-01,9,26
2011-11-01,8,38
2011-12-01,11,23
2012-01-01,19,30
2012-02-01,19,41
2012-03-01,11,33
2012-04-01,10,44
2012-05-01,15,34
2012-06-01,24,41
2012-07-01,40,41
2012-08-01,27,41
2012-09-01,31,38
2012-10-01,33,43
2012-11-01,34,32
2012-12-01,31,36
2013-01-01,40,47
2013-02-01,41,42
2013-03-01,35,46
2013-04-01,48,36
2013-05-01,54,33
2013-06-01,57,52
2013-07-01,52,40
2013-08-01,69,54
2013-09-01,56,54
2013-10-01,58,46
2013-11-01,56,52
2013-12-01,82,40
2014-01-01,80,48
2014-02-01,74,52
2014-03-01,72,50
2014-04-01,78,52
2014-05-01,73,44
2014-06-01,66,47
2014-07-01,98,50
2014-08-01,91,41
2014-09-01,92,56
2014-10-01,82,74
2014-11-01,81,46
2014-12-01,95,61
2015-01-01,82,68
2015-02-01,58,42
2015-03-01,57,57
2015-04-01,48,62
2015-05-01,71,60
2015-06-01,59,56
2015-07-01,76,56
2015-08-01,74,58
2015-09-01,74,59
2015-10-01,62,57
2015-11-01,62,56
2015-12-01,72,60
2016-01-01,75,58
2016-02-01,63,78
2016-03-01,68,66
2016-04-01,77,66
2016-05-01,96,55
2016-06-01,98,65
2016-07-01,81,58
2016-08-01,85,74
2016-09-01,82,65
2016-10-01,59,57
2016-11-01,91,59
2016-12-01,89,57
2017-01-01,100,75
