date,private browsing chrome,search without history
2011-01-01,54,7
2011-02-01,51,5
2011-03-01,51,3
2011-04-01,55,4
2011-05-01,58,3
2011-06-01,65,5
2011-07-01,67,7
2011-08-01,76,4
2011-09-01,83,7
2011-10-01,85,5
2011-11-01,84,6
2011-12-01,83,4
2012-01-01,89,4
2012-02-01,80,6
2012-03-01,85,6
2012-04-01,83,6
2012-05-01,92,5
2012-06-01,96,6
2012-07-01,100,8
2012-08-01,96,6
2012-09-01,91,6
2012-10-01,90,6
2012-11-01,77,5
2012-12-01,95,6
2013-01-01,81,8
2013-02-01,80,8
2013-03-01,74,9
2013-04-01,89,6
2013-05-01,80,6
2013-06-01,72,9
2013-07-01,69,7
2013-08-01,80,8
2013-09-01,81,9
2013-10-01,81,8
2013-11-01,69,9
2013-12-01,73,7
2014-01-01,84,7
2014-02-01,73,6
2014-03-01,80,9
2014-04-01,72,8
2014-05-01,78,7
2014-06-01,67,7
2014-07-01,81,9
2014-08-01,68,7
2014-09-01,71,9
2014-10-01,62,11
2014-11-01,67,8
2014-12-01,51,9
2015-01-01,58,10
2015-02-01,49,7
2015-03-01,48,9
2015-04-01,50,9
2015-05-01,50,11
2015-06-01,48,9
2015-07-01,53,9
2015-08-01,51,10
2015-09-01,48,9
2015-10-01,41,10
2015-11-01,37,8
2015-12-01,37,9
2016-01-01,47,9
2016-02-01,40,13
2016-03-01,45,10
2016-04-01,44,10
2016-05-01,43,9
2016-06-01,42,11
2016-07-01,42,11
2016-08-01,43,11
2016-09-01,39,12
2016-10-01,42,9
2016-11-01,43,9
2016-12-01,38,11
2017-01-01,43,11
