date,incognito search,search without history
2011-01-01,5,7
2011-02-01,5,5
2011-03-01,4,3
2011-04-01,5,4
2011-05-01,6,4
2011-06-01,7,5
2011-07-01,7,6
2011-08-01,5,4
2011-09-01,3,6
2011-10-01,6,4
2011-11-01,5,6
2011-12-01,7,4
2012-01-01,6,5
2012-02-01,8,6
2012-03-01,7,5
2012-04-01,8,7
2012-05-01,7,5
2012-06-01,7,7
2012-07-01,9,7
2012-08-01,11,7
2012-09-01,8,6
2012-10-01,12,7
2012-11-01,11,5
2012-12-01,13,6
2013-01-01,14,7
2013-02-01,15,7
2013-03-01,15,7
2013-04-01,18,6
2013-05-01,15,5
2013-06-01,17,8
2013-07-01,20,6
2013-08-01,22,9
2013-09-01,20,9
2013-10-01,18,7
2013-11-01,29,8
2013-12-01,19,6
2014-01-01,22,8
2014-02-01,22,8
2014-03-01,22,8
2014-04-01,22,8
2014-05-01,20,7
2014-06-01,21,8
2014-07-01,26,8
2014-08-01,26,7
2014-09-01,25,9
2014-10-01,28,12
2014-11-01,26,7
2014-12-01,31,10
2015-01-01,29,11
2015-02-01,29,7
2015-03-01,27,9
2015-04-01,31,10
2015-05-01,32,10
2015-06-01,32,9
2015-07-01,35,9
2015-08-01,34,9
2015-09-01,34,9
2015-10-01,37,9
2015-11-01,35,9
2015-12-01,39,10
2016-01-01,38,9
2016-02-01,33,12
2016-03-01,55,11
2016-04-01,49,11
2016-05-01,65,9
2016-06-01,70,10
2016-07-01,63,9
2016-08-01,46,12
2016-09-01,48,10
2016-10-01,49,9
2016-11-01,61,9
2016-12-01,81,9
2017-01-01,100,12
