date,incognito mode meaning,search without history
2011-01-01,0,52
2011-02-01,0,42
2011-03-01,0,26
2011-04-01,0,34
2011-05-01,0,26
2011-06-01,0,42
2011-07-01,6,53
2011-08-01,0,28
2011-09-01,0,57
2011-10-01,0,36
2011-11-01,0,49
2011-12-01,0,33
2012-01-01,5,31
2012-02-01,5,48
2012-03-01,9,49
2012-04-01,10,48
2012-05-01,7,42
2012-06-01,5,44
2012-07-01,5,60
2012-08-01,14,45
2012-09-01,7,45
2012-10-01,8,51
2012-11-01,6,37
2012-12-01,4,47
2013-01-01,9,60
2013-02-01,15,60
2013-03-01,37,68
2013-04-01,23,45
2013-05-01,9,49
2013-06-01,8,69
2013-07-01,6,55
2013-08-01,7,62
2013-09-01,14,74
2013-10-01,17,61
2013-11-01,16,73
2013-12-01,12,53
2014-01-01,23,55
2014-02-01,14,51
2014-03-01,24,71
2014-04-01,18,66
2014-05-01,3,53
2014-06-01,6,52
2014-07-01,20,75
2014-08-01,7,59
2014-09-01,15,72
2014-10-01,23,90
2014-11-01,8,60
2014-12-01,13,72
2015-01-01,25,80
2015-02-01,40,53
2015-03-01,20,73
2015-04-01,30,75
2015-05-01,33,84
2015-06-01,23,73
2015-07-01,35,72
2015-08-01,48,80
2015-09-01,25,69
2015-10-01,35,77
2015-11-01,40,63
2015-12-01,32,74
2016-01-01,29,68
2016-02-01,33,100
2016-03-01,20,79
2016-04-01,55,81
2016-05-01,43,71
2016-06-01,49,86
2016-07-01,51,85
2016-08-01,46,91
2016-09-01,86,94
2016-10-01,63,73
2016-11-01,69,72
2016-12-01,46,84
2017-01-01,45,90
