date,in private browsing google,search without history
2011-01-01,45,33
2011-02-01,44,20
2011-03-01,49,13
2011-04-01,37,16
2011-05-01,51,18
2011-06-01,70,22
2011-07-01,59,28
2011-08-01,80,14
2011-09-01,73,29
2011-10-01,82,16
2011-11-01,55,24
2011-12-01,96,10
2012-01-01,74,24
2012-02-01,58,33
2012-03-01,94,29
2012-04-01,79,37
2012-05-01,81,28
2012-06-01,89,33
2012-07-01,96,26
2012-08-01,76,31
2012-09-01,84,29
2012-10-01,92,33
2012-11-01,100,26
2012-12-01,64,26
2013-01-01,64,35
2013-02-01,74,31
2013-03-01,79,30
2013-04-01,82,29
2013-05-01,71,21
2013-06-01,69,35
2013-07-01,65,25
2013-08-01,88,45
2013-09-01,72,36
2013-10-01,79,34
2013-11-01,57,34
2013-12-01,80,29
2014-01-01,80,42
2014-02-01,70,39
2014-03-01,61,32
2014-04-01,58,33
2014-05-01,57,32
2014-06-01,80,39
2014-07-01,56,32
2014-08-01,55,27
2014-09-01,66,41
2014-10-01,86,54
2014-11-01,60,30
2014-12-01,37,45
2015-01-01,41,48
2015-02-01,49,29
2015-03-01,40,42
2015-04-01,50,41
2015-05-01,39,35
2015-06-01,36,39
2015-07-01,36,40
2015-08-01,50,38
2015-09-01,47,43
2015-10-01,48,40
2015-11-01,53,46
2015-12-01,43,45
2016-01-01,42,49
2016-02-01,64,55
2016-03-01,41,47
2016-04-01,26,47
2016-05-01,45,42
2016-06-01,29,53
2016-07-01,49,42
2016-08-01,30,59
2016-09-01,37,45
2016-10-01,32,43
2016-11-01,33,44
2016-12-01,33,41
2017-01-01,35,56
