date,private browsing safari ipad,search without history
2011-01-01,12,13
2011-02-01,10,9
2011-03-01,12,7
2011-04-01,18,9
2011-05-01,18,7
2011-06-01,19,11
2011-07-01,29,12
2011-08-01,24,7
2011-09-01,22,13
2011-10-01,37,8
2011-11-01,34,12
2011-12-01,41,7
2012-01-01,36,9
2012-02-01,22,13
2012-03-01,38,10
2012-04-01,39,14
2012-05-01,32,11
2012-06-01,36,13
2012-07-01,31,13
2012-08-01,32,13
2012-09-01,33,12
2012-10-01,28,14
2012-11-01,23,10
2012-12-01,41,11
2013-01-01,36,15
2013-02-01,31,13
2013-03-01,27,14
2013-04-01,36,11
2013-05-01,36,11
2013-06-01,37,16
2013-07-01,31,13
2013-08-01,25,17
2013-09-01,99,17
2013-10-01,100,15
2013-11-01,71,16
2013-12-01,94,12
2014-01-01,84,15
2014-02-01,66,16
2014-03-01,61,16
2014-04-01,57,16
2014-05-01,52,14
2014-06-01,55,15
2014-07-01,49,16
2014-08-01,49,13
2014-09-01,74,18
2014-10-01,61,23
2014-11-01,43,15
2014-12-01,41,19
2015-01-01,28,21
2015-02-01,25,13
2015-03-01,22,18
2015-04-01,28,20
2015-05-01,26,19
2015-06-01,19,18
2015-07-01,22,18
2015-08-01,23,18
2015-09-01,21,19
2015-10-01,21,18
2015-11-01,22,18
2015-12-01,22,19
2016-01-01,21,18
2016-02-01,15,24
2016-03-01,19,21
2016-04-01,14,21
2016-05-01,15,17
2016-06-01,15,20
2016-07-01,13,18
2016-08-01,14,23
2016-09-01,14,20
2016-10-01,16,18
2016-11-01,12,19
2016-12-01,12,18
2017-01-01,12,23
