date,how to turn off private browsing on ipad,search without history
2011-01-01,0,24
2011-02-01,0,16
2011-03-01,0,12
2011-04-01,0,16
2011-05-01,0,13
2011-06-01,0,20
2011-07-01,0,21
2011-08-01,0,13
2011-09-01,2,23
2011-10-01,2,15
2011-11-01,2,22
2011-12-01,2,13
2012-01-01,2,17
2012-02-01,2,23
2012-03-01,2,19
2012-04-01,2,25
2012-05-01,2,19
2012-06-01,3,24
2012-07-01,4,23
2012-08-01,2,24
2012-09-01,2,21
2012-10-01,2,25
2012-11-01,2,18
2012-12-01,2,20
2013-01-01,2,27
2013-02-01,2,24
2013-03-01,2,26
2013-04-01,3,21
2013-05-01,4,19
2013-06-01,2,30
2013-07-01,3,23
2013-08-01,3,31
2013-09-01,15,31
2013-10-01,32,26
2013-11-01,39,29
2013-12-01,50,23
2014-01-01,52,27
2014-02-01,46,29
2014-03-01,48,28
2014-04-01,41,30
2014-05-01,80,25
2014-06-01,87,27
2014-07-01,85,29
2014-08-01,100,24
2014-09-01,78,32
2014-10-01,63,42
2014-11-01,40,26
2014-12-01,32,35
2015-01-01,44,39
2015-02-01,41,24
2015-03-01,30,33
2015-04-01,29,36
2015-05-01,35,34
2015-06-01,38,32
2015-07-01,28,32
2015-08-01,35,33
2015-09-01,31,34
2015-10-01,28,33
2015-11-01,29,32
2015-12-01,23,34
2016-01-01,25,33
2016-02-01,13,44
2016-03-01,16,38
2016-04-01,10,38
2016-05-01,12,31
2016-06-01,18,37
2016-07-01,12,33
2016-08-01,9,42
2016-09-01,9,37
2016-10-01,13,32
2016-11-01,14,34
2016-12-01,9,32
2017-01-01,8,43
