date,in private browsing safari,search without history
2011-01-01,18,17
2011-02-01,17,12
2011-03-01,21,9
2011-04-01,28,12
2011-05-01,19,10
2011-06-01,22,14
2011-07-01,40,16
2011-08-01,33,10
2011-09-01,18,17
2011-10-01,38,11
2011-11-01,44,16
2011-12-01,39,10
2012-01-01,31,12
2012-02-01,32,17
2012-03-01,31,14
2012-04-01,28,18
2012-05-01,23,14
2012-06-01,26,17
2012-07-01,33,17
2012-08-01,33,17
2012-09-01,38,16
2012-10-01,28,18
2012-11-01,29,13
2012-12-01,38,15
2013-01-01,29,20
2013-02-01,34,18
2013-03-01,34,19
2013-04-01,36,15
2013-05-01,32,14
2013-06-01,34,22
2013-07-01,33,17
2013-08-01,34,23
2013-09-01,86,23
2013-10-01,88,19
2013-11-01,66,22
2013-12-01,66,17
2014-01-01,58,20
2014-02-01,51,22
2014-03-01,56,21
2014-04-01,42,22
2014-05-01,53,18
2014-06-01,52,20
2014-07-01,59,21
2014-08-01,67,17
2014-09-01,70,23
2014-10-01,100,31
2014-11-01,83,19
2014-12-01,63,26
2015-01-01,55,29
2015-02-01,47,18
2015-03-01,44,24
2015-04-01,48,26
2015-05-01,40,25
2015-06-01,36,23
2015-07-01,40,23
2015-08-01,39,24
2015-09-01,39,25
2015-10-01,42,24
2015-11-01,40,24
2015-12-01,42,25
2016-01-01,40,25
2016-02-01,30,33
2016-03-01,31,28
2016-04-01,32,28
2016-05-01,28,23
2016-06-01,27,27
2016-07-01,33,24
2016-08-01,37,31
2016-09-01,35,27
2016-10-01,31,24
2016-11-01,31,25
2016-12-01,30,24
2017-01-01,30,31
