date,open incognito mode,search without history
2011-01-01,28,49
2011-02-01,6,33
2011-03-01,11,25
2011-04-01,13,32
2011-05-01,21,27
2011-06-01,11,40
2011-07-01,7,43
2011-08-01,15,27
2011-09-01,8,47
2011-10-01,13,30
2011-11-01,11,44
2011-12-01,13,27
2012-01-01,25,35
2012-02-01,18,47
2012-03-01,21,38
2012-04-01,15,51
2012-05-01,10,40
2012-06-01,20,48
2012-07-01,28,48
2012-08-01,26,48
2012-09-01,21,44
2012-10-01,26,50
2012-11-01,26,38
2012-12-01,29,42
2013-01-01,31,55
2013-02-01,25,50
2013-03-01,28,54
2013-04-01,25,43
2013-05-01,36,39
2013-06-01,34,61
2013-07-01,33,47
2013-08-01,40,63
2013-09-01,41,64
2013-10-01,27,54
2013-11-01,43,60
2013-12-01,59,47
2014-01-01,48,56
2014-02-01,47,60
2014-03-01,46,58
2014-04-01,55,61
2014-05-01,44,52
2014-06-01,38,55
2014-07-01,50,59
2014-08-01,53,48
2014-09-01,56,65
2014-10-01,59,86
2014-11-01,62,54
2014-12-01,58,72
2015-01-01,70,80
2015-02-01,63,50
2015-03-01,48,67
2015-04-01,75,73
2015-05-01,58,70
2015-06-01,66,65
2015-07-01,64,65
2015-08-01,71,68
2015-09-01,84,69
2015-10-01,64,67
2015-11-01,78,66
2015-12-01,100,71
2016-01-01,81,68
2016-02-01,73,91
2016-03-01,76,77
2016-04-01,81,78
2016-05-01,98,64
2016-06-01,74,76
2016-07-01,79,68
2016-08-01,81,86
2016-09-01,90,76
2016-10-01,92,67
2016-11-01,91,69
2016-12-01,84,66
2017-01-01,97,87
