date,how to turn on private browsing on iphone,search without history
2011-01-01,0,27
2011-02-01,0,19
2011-03-01,3,14
2011-04-01,3,18
2011-05-01,3,15
2011-06-01,3,22
2011-07-01,3,24
2011-08-01,3,15
2011-09-01,3,26
2011-10-01,3,17
2011-11-01,4,25
2011-12-01,3,15
2012-01-01,2,19
2012-02-01,2,26
2012-03-01,2,21
2012-04-01,2,28
2012-05-01,2,22
2012-06-01,2,27
2012-07-01,5,26
2012-08-01,3,27
2012-09-01,9,24
2012-10-01,3,28
2012-11-01,3,21
2012-12-01,3,23
2013-01-01,2,30
2013-02-01,4,28
2013-03-01,2,30
2013-04-01,2,24
2013-05-01,5,22
2013-06-01,4,34
2013-07-01,3,26
2013-08-01,4,35
2013-09-01,39,35
2013-10-01,52,30
2013-11-01,31,34
2013-12-01,62,26
2014-01-01,71,31
2014-02-01,67,33
2014-03-01,59,32
2014-04-01,50,34
2014-05-01,89,29
2014-06-01,94,31
2014-07-01,100,33
2014-08-01,96,27
2014-09-01,81,36
2014-10-01,62,48
2014-11-01,59,30
2014-12-01,56,40
2015-01-01,46,44
2015-02-01,43,28
2015-03-01,62,37
2015-04-01,51,40
2015-05-01,44,39
2015-06-01,44,36
2015-07-01,36,36
2015-08-01,49,38
2015-09-01,50,38
2015-10-01,52,37
2015-11-01,52,36
2015-12-01,53,39
2016-01-01,46,38
2016-02-01,22,51
2016-03-01,18,43
2016-04-01,27,43
2016-05-01,24,35
2016-06-01,24,42
2016-07-01,26,38
2016-08-01,14,48
2016-09-01,22,42
2016-10-01,29,37
2016-11-01,27,38
2016-12-01,22,37
2017-01-01,19,48
