date,incognito safari,search without history
2011-01-01,11,9
2011-02-01,8,6
2011-03-01,12,5
2011-04-01,11,6
2011-05-01,11,5
2011-06-01,15,8
2011-07-01,22,8
2011-08-01,16,5
2011-09-01,16,9
2011-10-01,21,6
2011-11-01,18,9
2011-12-01,24,5
2012-01-01,17,7
2012-02-01,17,9
2012-03-01,22,7
2012-04-01,25,10
2012-05-01,17,8
2012-06-01,26,9
2012-07-01,29,9
2012-08-01,43,9
2012-09-01,43,9
2012-10-01,35,10
2012-11-01,32,7
2012-12-01,47,8
2013-01-01,44,11
2013-02-01,39,10
2013-03-01,47,10
2013-04-01,48,8
2013-05-01,52,8
2013-06-01,55,12
2013-07-01,70,9
2013-08-01,69,12
2013-09-01,73,12
2013-10-01,66,11
2013-11-01,62,12
2013-12-01,70,9
2014-01-01,64,11
2014-02-01,61,12
2014-03-01,69,11
2014-04-01,62,12
2014-05-01,60,10
2014-06-01,72,11
2014-07-01,83,11
2014-08-01,93,9
2014-09-01,96,13
2014-10-01,100,17
2014-11-01,87,11
2014-12-01,92,14
2015-01-01,74,15
2015-02-01,74,10
2015-03-01,76,13
2015-04-01,79,14
2015-05-01,68,14
2015-06-01,79,13
2015-07-01,79,13
2015-08-01,79,13
2015-09-01,69,13
2015-10-01,64,13
2015-11-01,64,13
2015-12-01,71,14
2016-01-01,65,13
2016-02-01,65,18
2016-03-01,67,15
2016-04-01,73,15
2016-05-01,65,12
2016-06-01,70,15
2016-07-01,72,13
2016-08-01,71,17
2016-09-01,78,15
2016-10-01,71,13
2016-11-01,73,13
2016-12-01,66,13
2017-01-01,71,17
