date,private browsing google,search without history
2011-01-01,47,10
2011-02-01,47,7
2011-03-01,61,5
2011-04-01,46,7
2011-05-01,58,6
2011-06-01,57,9
2011-07-01,66,9
2011-08-01,77,6
2011-09-01,87,10
2011-10-01,79,6
2011-11-01,74,9
2011-12-01,92,6
2012-01-01,86,7
2012-02-01,80,10
2012-03-01,98,8
2012-04-01,85,11
2012-05-01,83,8
2012-06-01,86,10
2012-07-01,88,10
2012-08-01,85,10
2012-09-01,87,9
2012-10-01,85,11
2012-11-01,81,8
2012-12-01,79,9
2013-01-01,81,12
2013-02-01,81,10
2013-03-01,81,11
2013-04-01,91,9
2013-05-01,76,8
2013-06-01,75,13
2013-07-01,78,10
2013-08-01,78,13
2013-09-01,96,13
2013-10-01,92,11
2013-11-01,88,13
2013-12-01,100,10
2014-01-01,92,12
2014-02-01,68,13
2014-03-01,75,12
2014-04-01,71,13
2014-05-01,83,11
2014-06-01,76,12
2014-07-01,77,12
2014-08-01,74,10
2014-09-01,77,14
2014-10-01,82,18
2014-11-01,68,11
2014-12-01,63,15
2015-01-01,59,17
2015-02-01,52,11
2015-03-01,55,14
2015-04-01,58,15
2015-05-01,48,15
2015-06-01,50,14
2015-07-01,51,14
2015-08-01,55,14
2015-09-01,54,15
2015-10-01,59,14
2015-11-01,53,14
2015-12-01,55,15
2016-01-01,52,14
2016-02-01,55,19
2016-03-01,47,16
2016-04-01,43,16
2016-05-01,43,14
2016-06-01,37,16
2016-07-01,46,14
2016-08-01,47,18
2016-09-01,47,16
2016-10-01,43,14
2016-11-01,41,15
2016-12-01,43,14
2017-01-01,44,18
