date,how to clear history on iphone,search without history
2011-01-01,10,9
2011-02-01,15,6
2011-03-01,19,4
2011-04-01,16,6
2011-05-01,22,5
2011-06-01,27,7
2011-07-01,29,8
2011-08-01,23,5
2011-09-01,26,8
2011-10-01,37,5
2011-11-01,37,8
2011-12-01,43,5
2012-01-01,41,6
2012-02-01,35,8
2012-03-01,36,7
2012-04-01,46,9
2012-05-01,45,7
2012-06-01,49,8
2012-07-01,52,8
2012-08-01,59,9
2012-09-01,68,8
2012-10-01,72,9
2012-11-01,65,7
2012-12-01,93,7
2013-01-01,97,10
2013-02-01,85,9
2013-03-01,82,9
2013-04-01,75,7
2013-05-01,75,7
2013-06-01,92,11
2013-07-01,89,8
2013-08-01,85,11
2013-09-01,100,11
2013-10-01,69,10
2013-11-01,61,11
2013-12-01,67,8
2014-01-01,65,10
2014-02-01,68,11
2014-03-01,67,10
2014-04-01,70,11
2014-05-01,74,9
2014-06-01,64,10
2014-07-01,66,10
2014-08-01,77,8
2014-09-01,73,11
2014-10-01,66,15
2014-11-01,58,10
2014-12-01,70,13
2015-01-01,65,14
2015-02-01,61,9
2015-03-01,55,12
2015-04-01,56,13
2015-05-01,66,12
2015-06-01,74,11
2015-07-01,73,11
2015-08-01,75,12
2015-09-01,73,12
2015-10-01,71,12
2015-11-01,81,12
2015-12-01,95,12
2016-01-01,86,12
2016-02-01,72,16
2016-03-01,83,14
2016-04-01,91,14
2016-05-01,90,11
2016-06-01,81,13
2016-07-01,91,12
2016-08-01,92,15
2016-09-01,93,13
2016-10-01,87,12
2016-11-01,88,12
2016-12-01,91,12
2017-01-01,96,15
