date,privacy instagram
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,1
2011-06-01,1
2011-07-01,1
2011-08-01,1
2011-09-01,1
2011-10-01,0
2011-11-01,2
2011-12-01,1
2012-01-01,2
2012-02-01,2
2012-03-01,4
2012-04-01,12
2012-05-01,13
2012-06-01,9
2012-07-01,8
2012-08-01,10
2012-09-01,48
2012-10-01,43
2012-11-01,35
2012-12-01,100
2013-01-01,43
2013-02-01,27
2013-03-01,30
2013-04-01,25
2013-05-01,28
2013-06-01,27
2013-07-01,28
2013-08-01,28
2013-09-01,26
2013-10-01,24
2013-11-01,20
2013-12-01,26
2014-01-01,27
2014-02-01,26
2014-03-01,43
2014-04-01,28
2014-05-01,28
2014-06-01,28
2014-07-01,27
2014-08-01,32
2014-09-01,30
2014-10-01,29
2014-11-01,30
2014-12-01,27
2015-01-01,31
2015-02-01,27
2015-03-01,23
2015-04-01,23
2015-05-01,23
2015-06-01,22
2015-07-01,24
2015-08-01,20
2015-09-01,22
2015-10-01,22
2015-11-01,20
2015-12-01,26
2016-01-01,21
2016-02-01,20
2016-03-01,23
2016-04-01,22
2016-05-01,20
2016-06-01,22
2016-07-01,25
2016-08-01,23
2016-09-01,25
2016-10-01,22
2016-11-01,24
2016-12-01,25
2017-01-01,30
