date,whatsapp lock for iphone,whatsapp security settings
2011-01-01,7,0
2011-02-01,7,0
2011-03-01,13,0
2011-04-01,6,0
2011-05-01,6,0
2011-06-01,7,0
2011-07-01,7,0
2011-08-01,8,0
2011-09-01,9,0
2011-10-01,6,0
2011-11-01,6,0
2011-12-01,6,0
2012-01-01,10,0
2012-02-01,9,0
2012-03-01,10,5
2012-04-01,7,5
2012-05-01,11,5
2012-06-01,14,7
2012-07-01,10,8
2012-08-01,15,10
2012-09-01,20,5
2012-10-01,10,9
2012-11-01,21,5
2012-12-01,27,5
2013-01-01,22,4
2013-02-01,26,5
2013-03-01,35,5
2013-04-01,23,8
2013-05-01,41,4
2013-06-01,61,5
2013-07-01,42,8
2013-08-01,77,7
2013-09-01,60,6
2013-10-01,61,4
2013-11-01,54,8
2013-12-01,79,5
2014-01-01,62,7
2014-02-01,66,12
2014-03-01,71,7
2014-04-01,69,7
2014-05-01,50,17
2014-06-01,55,11
2014-07-01,67,11
2014-08-01,83,10
2014-09-01,72,6
2014-10-01,85,8
2014-11-01,81,6
2014-12-01,71,6
2015-01-01,91,9
2015-02-01,100,13
2015-03-01,91,16
2015-04-01,87,10
2015-05-01,81,7
2015-06-01,94,10
2015-07-01,69,9
2015-08-01,91,5
2015-09-01,84,15
2015-10-01,78,5
2015-11-01,77,7
2015-12-01,66,9
2016-01-01,98,15
2016-02-01,68,17
2016-03-01,72,8
2016-04-01,61,54
2016-05-01,71,10
2016-06-01,65,18
2016-07-01,67,14
2016-08-01,63,15
2016-09-01,55,28
2016-10-01,63,15
2016-11-01,59,18
2016-12-01,65,13
2017-01-01,50,16
