date,WhatsApp tips and tricks,whatsapp security settings
2011-01-01,10,0
2011-02-01,5,0
2011-03-01,0,0
2011-04-01,8,0
2011-05-01,0,0
2011-06-01,5,0
2011-07-01,7,0
2011-08-01,14,5
2011-09-01,11,0
2011-10-01,9,0
2011-11-01,6,0
2011-12-01,9,0
2012-01-01,10,0
2012-02-01,12,4
2012-03-01,12,4
2012-04-01,11,8
2012-05-01,6,8
2012-06-01,9,4
2012-07-01,19,0
2012-08-01,18,0
2012-09-01,15,4
2012-10-01,18,3
2012-11-01,34,0
2012-12-01,35,3
2013-01-01,20,6
2013-02-01,30,3
2013-03-01,24,5
2013-04-01,39,6
2013-05-01,35,3
2013-06-01,32,5
2013-07-01,52,3
2013-08-01,41,3
2013-09-01,41,8
2013-10-01,46,6
2013-11-01,37,0
2013-12-01,34,4
2014-01-01,52,6
2014-02-01,47,7
2014-03-01,65,11
2014-04-01,54,7
2014-05-01,52,8
2014-06-01,61,11
2014-07-01,69,10
2014-08-01,83,7
2014-09-01,48,8
2014-10-01,58,10
2014-11-01,86,7
2014-12-01,67,6
2015-01-01,84,3
2015-02-01,76,7
2015-03-01,86,15
2015-04-01,80,13
2015-05-01,78,3
2015-06-01,62,6
2015-07-01,100,9
2015-08-01,72,6
2015-09-01,70,7
2015-10-01,44,4
2015-11-01,51,9
2015-12-01,50,8
2016-01-01,65,9
2016-02-01,64,10
2016-03-01,48,8
2016-04-01,66,35
2016-05-01,75,7
2016-06-01,72,10
2016-07-01,66,15
2016-08-01,62,11
2016-09-01,83,31
2016-10-01,78,12
2016-11-01,55,9
2016-12-01,52,10
2017-01-01,59,11
