date,encrypt WhatsApp how to,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,3,0
2011-05-01,3,0
2011-06-01,0,0
2011-07-01,3,0
2011-08-01,0,3
2011-09-01,3,0
2011-10-01,0,0
2011-11-01,3,0
2011-12-01,0,0
2012-01-01,2,0
2012-02-01,0,3
2012-03-01,0,2
2012-04-01,0,5
2012-05-01,0,5
2012-06-01,0,2
2012-07-01,5,0
2012-08-01,2,0
2012-09-01,2,2
2012-10-01,4,2
2012-11-01,3,0
2012-12-01,4,2
2013-01-01,2,4
2013-02-01,4,2
2013-03-01,2,3
2013-04-01,3,4
2013-05-01,8,2
2013-06-01,3,3
2013-07-01,3,2
2013-08-01,2,2
2013-09-01,4,5
2013-10-01,3,4
2013-11-01,4,0
2013-12-01,2,3
2014-01-01,3,4
2014-02-01,5,4
2014-03-01,2,7
2014-04-01,2,4
2014-05-01,5,5
2014-06-01,4,7
2014-07-01,4,6
2014-08-01,5,4
2014-09-01,5,5
2014-10-01,4,6
2014-11-01,5,4
2014-12-01,4,4
2015-01-01,4,2
2015-02-01,5,4
2015-03-01,5,10
2015-04-01,4,8
2015-05-01,7,2
2015-06-01,5,4
2015-07-01,5,6
2015-08-01,8,4
2015-09-01,8,5
2015-10-01,6,2
2015-11-01,7,6
2015-12-01,7,5
2016-01-01,6,5
2016-02-01,4,6
2016-03-01,7,5
2016-04-01,100,22
2016-05-01,30,5
2016-06-01,23,7
2016-07-01,22,9
2016-08-01,17,7
2016-09-01,11,19
2016-10-01,14,8
2016-11-01,12,6
2016-12-01,14,7
2017-01-01,12,7
