date,aes decryption online,best private messaging app
2011-01-01,39,0
2011-02-01,37,0
2011-03-01,37,0
2011-04-01,49,0
2011-05-01,18,0
2011-06-01,24,0
2011-07-01,30,0
2011-08-01,35,0
2011-09-01,17,0
2011-10-01,41,16
2011-11-01,40,16
2011-12-01,40,15
2012-01-01,45,15
2012-02-01,31,15
2012-03-01,29,15
2012-04-01,31,31
2012-05-01,14,15
2012-06-01,22,15
2012-07-01,51,14
2012-08-01,64,14
2012-09-01,50,14
2012-10-01,65,26
2012-11-01,39,20
2012-12-01,33,26
2013-01-01,48,48
2013-02-01,52,13
2013-03-01,52,23
2013-04-01,41,12
2013-05-01,40,14
2013-06-01,35,16
2013-07-01,29,17
2013-08-01,23,11
2013-09-01,51,11
2013-10-01,43,21
2013-11-01,44,22
2013-12-01,33,11
2014-01-01,66,11
2014-02-01,17,11
2014-03-01,20,20
2014-04-01,36,31
2014-05-01,37,10
2014-06-01,41,35
2014-07-01,62,17
2014-08-01,11,28
2014-09-01,60,38
2014-10-01,77,26
2014-11-01,43,21
2014-12-01,36,36
2015-01-01,59,20
2015-02-01,47,58
2015-03-01,38,29
2015-04-01,39,15
2015-05-01,67,24
2015-06-01,44,25
2015-07-01,44,15
2015-08-01,24,33
2015-09-01,19,9
2015-10-01,67,36
2015-11-01,55,27
2015-12-01,32,23
2016-01-01,48,13
2016-02-01,65,22
2016-03-01,45,24
2016-04-01,34,17
2016-05-01,33,45
2016-06-01,30,17
2016-07-01,47,13
2016-08-01,58,50
2016-09-01,66,50
2016-10-01,39,47
2016-11-01,47,51
2016-12-01,51,28
2017-01-01,100,41
