date,aes algorithm steps,best private messaging app
2011-01-01,34,0
2011-02-01,88,0
2011-03-01,32,0
2011-04-01,68,0
2011-05-01,32,0
2011-06-01,33,0
2011-07-01,32,0
2011-08-01,31,0
2011-09-01,30,0
2011-10-01,57,28
2011-11-01,28,28
2011-12-01,26,25
2012-01-01,26,25
2012-02-01,27,25
2012-03-01,38,25
2012-04-01,80,53
2012-05-01,25,26
2012-06-01,25,26
2012-07-01,25,25
2012-08-01,25,25
2012-09-01,49,25
2012-10-01,45,45
2012-11-01,45,34
2012-12-01,34,45
2013-01-01,21,83
2013-02-01,45,23
2013-03-01,20,40
2013-04-01,21,20
2013-05-01,20,24
2013-06-01,62,27
2013-07-01,40,30
2013-08-01,30,20
2013-09-01,19,20
2013-10-01,19,37
2013-11-01,19,37
2013-12-01,38,19
2014-01-01,44,19
2014-02-01,29,19
2014-03-01,26,35
2014-04-01,45,54
2014-05-01,36,18
2014-06-01,20,60
2014-07-01,69,29
2014-08-01,69,49
2014-09-01,47,66
2014-10-01,27,45
2014-11-01,28,37
2014-12-01,36,63
2015-01-01,34,34
2015-02-01,18,100
2015-03-01,66,49
2015-04-01,77,25
2015-05-01,42,42
2015-06-01,34,42
2015-07-01,75,25
2015-08-01,50,58
2015-09-01,80,16
2015-10-01,77,61
2015-11-01,24,47
2015-12-01,64,40
2016-01-01,60,22
2016-02-01,60,37
2016-03-01,70,42
2016-04-01,87,29
2016-05-01,56,78
2016-06-01,73,29
2016-07-01,52,22
2016-08-01,65,86
2016-09-01,64,86
2016-10-01,41,81
2016-11-01,55,88
2016-12-01,48,48
2017-01-01,32,70
