date,encrypted text messages,best private messaging app
2011-01-01,41,0
2011-02-01,31,0
2011-03-01,22,0
2011-04-01,18,0
2011-05-01,28,0
2011-06-01,58,0
2011-07-01,23,0
2011-08-01,40,0
2011-09-01,16,16
2011-10-01,45,15
2011-11-01,20,15
2011-12-01,30,13
2012-01-01,23,13
2012-02-01,38,13
2012-03-01,27,13
2012-04-01,37,28
2012-05-01,48,14
2012-06-01,27,14
2012-07-01,79,13
2012-08-01,57,13
2012-09-01,52,13
2012-10-01,51,20
2012-11-01,56,16
2012-12-01,48,24
2013-01-01,40,33
2013-02-01,60,12
2013-03-01,53,18
2013-04-01,44,11
2013-05-01,39,11
2013-06-01,65,11
2013-07-01,74,21
2013-08-01,60,10
2013-09-01,48,10
2013-10-01,62,20
2013-11-01,43,20
2013-12-01,30,9
2014-01-01,59,9
2014-02-01,75,10
2014-03-01,64,18
2014-04-01,47,19
2014-05-01,64,10
2014-06-01,57,27
2014-07-01,42,21
2014-08-01,42,24
2014-09-01,40,33
2014-10-01,63,28
2014-11-01,39,26
2014-12-01,41,25
2015-01-01,33,15
2015-02-01,51,39
2015-03-01,94,18
2015-04-01,72,12
2015-05-01,56,21
2015-06-01,51,18
2015-07-01,68,27
2015-08-01,38,35
2015-09-01,79,9
2015-10-01,54,33
2015-11-01,97,19
2015-12-01,73,31
2016-01-01,64,24
2016-02-01,95,20
2016-03-01,67,27
2016-04-01,77,15
2016-05-01,57,40
2016-06-01,49,13
2016-07-01,60,16
2016-08-01,53,43
2016-09-01,88,35
2016-10-01,100,41
2016-11-01,58,41
2016-12-01,62,26
2017-01-01,68,41
