date,aes key generator,best private messaging app
2011-01-01,21,0
2011-02-01,43,0
2011-03-01,32,0
2011-04-01,28,0
2011-05-01,72,0
2011-06-01,100,0
2011-07-01,86,0
2011-08-01,56,0
2011-09-01,24,0
2011-10-01,40,12
2011-11-01,92,12
2011-12-01,57,10
2012-01-01,84,10
2012-02-01,44,10
2012-03-01,51,10
2012-04-01,92,22
2012-05-01,50,10
2012-06-01,41,10
2012-07-01,36,10
2012-08-01,25,10
2012-09-01,45,10
2012-10-01,27,18
2012-11-01,41,14
2012-12-01,37,19
2013-01-01,55,34
2013-02-01,60,9
2013-03-01,70,17
2013-04-01,59,8
2013-05-01,57,10
2013-06-01,54,11
2013-07-01,66,12
2013-08-01,33,8
2013-09-01,60,8
2013-10-01,65,15
2013-11-01,73,15
2013-12-01,85,8
2014-01-01,22,8
2014-02-01,39,8
2014-03-01,61,14
2014-04-01,44,22
2014-05-01,37,7
2014-06-01,33,25
2014-07-01,36,12
2014-08-01,72,20
2014-09-01,35,27
2014-10-01,48,18
2014-11-01,87,15
2014-12-01,40,26
2015-01-01,52,14
2015-02-01,60,41
2015-03-01,47,20
2015-04-01,94,10
2015-05-01,65,17
2015-06-01,52,17
2015-07-01,48,10
2015-08-01,37,24
2015-09-01,79,7
2015-10-01,50,25
2015-11-01,35,19
2015-12-01,62,16
2016-01-01,49,9
2016-02-01,77,15
2016-03-01,63,17
2016-04-01,50,12
2016-05-01,66,32
2016-06-01,54,12
2016-07-01,72,9
2016-08-01,62,35
2016-09-01,56,35
2016-10-01,72,33
2016-11-01,53,36
2016-12-01,47,20
2017-01-01,50,29
