date,encrypted messaging app android,best private messaging app
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,37
2011-10-01,0,35
2011-11-01,0,35
2011-12-01,0,31
2012-01-01,0,31
2012-02-01,0,31
2012-03-01,31,31
2012-04-01,31,65
2012-05-01,31,31
2012-06-01,31,31
2012-07-01,0,30
2012-08-01,0,30
2012-09-01,0,30
2012-10-01,0,46
2012-11-01,0,37
2012-12-01,0,55
2013-01-01,25,76
2013-02-01,25,28
2013-03-01,25,41
2013-04-01,25,25
2013-05-01,24,25
2013-06-01,38,25
2013-07-01,25,49
2013-08-01,25,24
2013-09-01,23,24
2013-10-01,23,46
2013-11-01,22,46
2013-12-01,22,22
2014-01-01,22,22
2014-02-01,40,24
2014-03-01,21,43
2014-04-01,22,44
2014-05-01,33,22
2014-06-01,24,62
2014-07-01,24,48
2014-08-01,24,56
2014-09-01,23,77
2014-10-01,22,66
2014-11-01,23,60
2014-12-01,22,59
2015-01-01,21,34
2015-02-01,45,89
2015-03-01,41,41
2015-04-01,27,28
2015-05-01,27,48
2015-06-01,21,41
2015-07-01,34,62
2015-08-01,27,81
2015-09-01,40,20
2015-10-01,19,76
2015-11-01,52,45
2015-12-01,29,72
2016-01-01,49,55
2016-02-01,37,46
2016-03-01,34,63
2016-04-01,54,35
2016-05-01,26,92
2016-06-01,27,30
2016-07-01,36,36
2016-08-01,24,100
2016-09-01,23,82
2016-10-01,42,94
2016-11-01,28,95
2016-12-01,59,61
2017-01-01,37,95
