date,aes cbc decryption,best private messaging app
2011-01-01,31,0
2011-02-01,29,0
2011-03-01,29,0
2011-04-01,31,0
2011-05-01,30,0
2011-06-01,30,0
2011-07-01,26,0
2011-08-01,26,0
2011-09-01,26,28
2011-10-01,26,26
2011-11-01,26,26
2011-12-01,26,23
2012-01-01,24,23
2012-02-01,24,23
2012-03-01,23,23
2012-04-01,24,48
2012-05-01,23,23
2012-06-01,23,23
2012-07-01,23,22
2012-08-01,23,22
2012-09-01,22,22
2012-10-01,21,34
2012-11-01,51,27
2012-12-01,62,41
2013-01-01,19,56
2013-02-01,28,21
2013-03-01,18,31
2013-04-01,38,19
2013-05-01,36,18
2013-06-01,31,19
2013-07-01,18,37
2013-08-01,18,18
2013-09-01,18,18
2013-10-01,59,34
2013-11-01,23,34
2013-12-01,26,16
2014-01-01,21,16
2014-02-01,29,18
2014-03-01,32,32
2014-04-01,49,33
2014-05-01,82,17
2014-06-01,18,46
2014-07-01,36,36
2014-08-01,36,42
2014-09-01,40,57
2014-10-01,27,49
2014-11-01,34,45
2014-12-01,16,44
2015-01-01,46,26
2015-02-01,25,67
2015-03-01,30,30
2015-04-01,16,21
2015-05-01,30,35
2015-06-01,41,31
2015-07-01,25,46
2015-08-01,30,61
2015-09-01,22,15
2015-10-01,28,57
2015-11-01,36,34
2015-12-01,22,54
2016-01-01,37,41
2016-02-01,32,34
2016-03-01,21,47
2016-04-01,22,26
2016-05-01,22,69
2016-06-01,22,22
2016-07-01,22,27
2016-08-01,31,75
2016-09-01,100,61
2016-10-01,18,70
2016-11-01,37,71
2016-12-01,25,46
2017-01-01,47,71
