date,are text messages private,best private messaging app
2011-01-01,50,0
2011-02-01,67,0
2011-03-01,30,0
2011-04-01,22,0
2011-05-01,34,0
2011-06-01,28,0
2011-07-01,41,0
2011-08-01,59,0
2011-09-01,29,19
2011-10-01,45,18
2011-11-01,45,18
2011-12-01,71,16
2012-01-01,60,16
2012-02-01,34,16
2012-03-01,43,16
2012-04-01,34,34
2012-05-01,31,16
2012-06-01,49,16
2012-07-01,48,16
2012-08-01,24,16
2012-09-01,57,16
2012-10-01,100,24
2012-11-01,57,19
2012-12-01,43,29
2013-01-01,61,39
2013-02-01,67,14
2013-03-01,47,21
2013-04-01,22,13
2013-05-01,30,13
2013-06-01,48,13
2013-07-01,26,26
2013-08-01,38,13
2013-09-01,33,13
2013-10-01,28,24
2013-11-01,24,24
2013-12-01,18,11
2014-01-01,45,11
2014-02-01,37,12
2014-03-01,37,22
2014-04-01,23,23
2014-05-01,31,12
2014-06-01,47,32
2014-07-01,19,25
2014-08-01,42,29
2014-09-01,36,40
2014-10-01,34,34
2014-11-01,31,31
2014-12-01,50,31
2015-01-01,39,18
2015-02-01,47,47
2015-03-01,32,21
2015-04-01,51,14
2015-05-01,35,25
2015-06-01,25,22
2015-07-01,28,32
2015-08-01,47,42
2015-09-01,36,10
2015-10-01,25,39
2015-11-01,40,24
2015-12-01,37,38
2016-01-01,45,29
2016-02-01,48,24
2016-03-01,51,33
2016-04-01,47,18
2016-05-01,48,48
2016-06-01,50,16
2016-07-01,38,19
2016-08-01,37,52
2016-09-01,33,43
2016-10-01,29,49
2016-11-01,32,49
2016-12-01,14,32
2017-01-01,49,49
