date,aes encryption example,best private messaging app
2011-01-01,20,0
2011-02-01,39,0
2011-03-01,35,0
2011-04-01,34,0
2011-05-01,32,0
2011-06-01,26,0
2011-07-01,43,0
2011-08-01,42,0
2011-09-01,41,5
2011-10-01,40,4
2011-11-01,33,4
2011-12-01,35,4
2012-01-01,39,4
2012-02-01,43,4
2012-03-01,36,4
2012-04-01,43,8
2012-05-01,68,4
2012-06-01,45,4
2012-07-01,57,4
2012-08-01,56,4
2012-09-01,46,4
2012-10-01,58,6
2012-11-01,46,5
2012-12-01,44,7
2013-01-01,41,9
2013-02-01,54,3
2013-03-01,58,5
2013-04-01,66,3
2013-05-01,51,3
2013-06-01,48,3
2013-07-01,63,6
2013-08-01,53,3
2013-09-01,60,3
2013-10-01,58,6
2013-11-01,67,6
2013-12-01,70,3
2014-01-01,70,3
2014-02-01,71,3
2014-03-01,48,5
2014-04-01,86,5
2014-05-01,66,3
2014-06-01,66,8
2014-07-01,65,6
2014-08-01,52,7
2014-09-01,66,10
2014-10-01,70,8
2014-11-01,73,7
2014-12-01,60,7
2015-01-01,68,4
2015-02-01,74,11
2015-03-01,80,5
2015-04-01,81,3
2015-05-01,58,6
2015-06-01,70,5
2015-07-01,53,8
2015-08-01,53,10
2015-09-01,70,2
2015-10-01,69,9
2015-11-01,81,6
2015-12-01,86,9
2016-01-01,62,7
2016-02-01,78,6
2016-03-01,100,8
2016-04-01,90,4
2016-05-01,74,11
2016-06-01,70,4
2016-07-01,60,4
2016-08-01,64,12
2016-09-01,58,10
2016-10-01,66,12
2016-11-01,65,12
2016-12-01,66,8
2017-01-01,67,12
