date,aes encryption java,best private messaging app
2011-01-01,50,0
2011-02-01,60,0
2011-03-01,75,0
2011-04-01,52,0
2011-05-01,46,0
2011-06-01,56,0
2011-07-01,45,0
2011-08-01,43,0
2011-09-01,59,4
2011-10-01,68,4
2011-11-01,63,4
2011-12-01,55,3
2012-01-01,55,3
2012-02-01,63,3
2012-03-01,59,3
2012-04-01,68,7
2012-05-01,71,3
2012-06-01,64,3
2012-07-01,59,3
2012-08-01,64,3
2012-09-01,69,3
2012-10-01,76,5
2012-11-01,72,4
2012-12-01,67,6
2013-01-01,59,8
2013-02-01,77,3
2013-03-01,78,4
2013-04-01,87,3
2013-05-01,63,3
2013-06-01,63,3
2013-07-01,77,5
2013-08-01,65,3
2013-09-01,59,3
2013-10-01,82,5
2013-11-01,66,5
2013-12-01,72,2
2014-01-01,66,2
2014-02-01,88,3
2014-03-01,84,5
2014-04-01,89,5
2014-05-01,77,2
2014-06-01,72,7
2014-07-01,82,5
2014-08-01,67,6
2014-09-01,87,8
2014-10-01,88,7
2014-11-01,75,6
2014-12-01,73,6
2015-01-01,78,4
2015-02-01,93,10
2015-03-01,96,4
2015-04-01,91,3
2015-05-01,78,5
2015-06-01,75,4
2015-07-01,71,7
2015-08-01,70,9
2015-09-01,85,2
2015-10-01,67,8
2015-11-01,93,5
2015-12-01,82,8
2016-01-01,61,6
2016-02-01,77,5
2016-03-01,94,7
2016-04-01,100,4
2016-05-01,72,10
2016-06-01,73,3
2016-07-01,73,4
2016-08-01,82,11
2016-09-01,58,9
2016-10-01,58,10
2016-11-01,73,10
2016-12-01,64,7
2017-01-01,73,10
