date,encrypted message meaning,best private messaging app
2011-01-01,32,0
2011-02-01,34,0
2011-03-01,61,0
2011-04-01,31,0
2011-05-01,31,0
2011-06-01,31,0
2011-07-01,31,0
2011-08-01,30,0
2011-09-01,43,29
2011-10-01,27,27
2011-11-01,27,27
2011-12-01,27,24
2012-01-01,25,24
2012-02-01,24,24
2012-03-01,24,24
2012-04-01,25,51
2012-05-01,24,25
2012-06-01,24,25
2012-07-01,36,24
2012-08-01,48,24
2012-09-01,24,24
2012-10-01,22,36
2012-11-01,22,29
2012-12-01,22,44
2013-01-01,40,60
2013-02-01,22,22
2013-03-01,19,32
2013-04-01,20,20
2013-05-01,20,19
2013-06-01,20,20
2013-07-01,19,39
2013-08-01,19,19
2013-09-01,19,19
2013-10-01,27,36
2013-11-01,24,36
2013-12-01,37,17
2014-01-01,17,17
2014-02-01,17,19
2014-03-01,17,34
2014-04-01,17,35
2014-05-01,17,18
2014-06-01,19,49
2014-07-01,28,38
2014-08-01,18,44
2014-09-01,18,61
2014-10-01,26,52
2014-11-01,18,47
2014-12-01,26,46
2015-01-01,24,27
2015-02-01,18,71
2015-03-01,16,32
2015-04-01,20,22
2015-05-01,24,38
2015-06-01,17,33
2015-07-01,33,49
2015-08-01,24,64
2015-09-01,21,16
2015-10-01,89,60
2015-11-01,23,36
2015-12-01,39,57
2016-01-01,14,44
2016-02-01,39,36
2016-03-01,20,50
2016-04-01,61,28
2016-05-01,96,73
2016-06-01,61,24
2016-07-01,28,29
2016-08-01,37,79
2016-09-01,64,64
2016-10-01,100,74
2016-11-01,46,75
2016-12-01,57,48
2017-01-01,50,75
