date,Twitter privacy policy
2011-01-01,44
2011-02-01,36
2011-03-01,35
2011-04-01,44
2011-05-01,51
2011-06-01,24
2011-07-01,38
2011-08-01,53
2011-09-01,46
2011-10-01,57
2011-11-01,25
2011-12-01,41
2012-01-01,56
2012-02-01,78
2012-03-01,80
2012-04-01,50
2012-05-01,92
2012-06-01,48
2012-07-01,55
2012-08-01,54
2012-09-01,64
2012-10-01,52
2012-11-01,56
2012-12-01,66
2013-01-01,74
2013-02-01,89
2013-03-01,100
2013-04-01,71
2013-05-01,40
2013-06-01,45
2013-07-01,56
2013-08-01,38
2013-09-01,54
2013-10-01,43
2013-11-01,69
2013-12-01,44
2014-01-01,52
2014-02-01,79
2014-03-01,81
2014-04-01,76
2014-05-01,58
2014-06-01,59
2014-07-01,51
2014-08-01,40
2014-09-01,77
2014-10-01,65
2014-11-01,72
2014-12-01,47
2015-01-01,78
2015-02-01,48
2015-03-01,84
2015-04-01,80
2015-05-01,75
2015-06-01,54
2015-07-01,87
2015-08-01,67
2015-09-01,70
2015-10-01,96
2015-11-01,82
2015-12-01,76
2016-01-01,55
2016-02-01,70
2016-03-01,51
2016-04-01,76
2016-05-01,49
2016-06-01,72
2016-07-01,60
2016-08-01,87
2016-09-01,77
2016-10-01,67
2016-11-01,83
2016-12-01,51
2017-01-01,90
