date,Encrypting emails,how to encrypt emails
2011-01-01,35,52
2011-02-01,73,37
2011-03-01,58,17
2011-04-01,35,17
2011-05-01,33,66
2011-06-01,60,43
2011-07-01,42,42
2011-08-01,48,32
2011-09-01,31,31
2011-10-01,74,52
2011-11-01,30,74
2011-12-01,22,44
2012-01-01,74,40
2012-02-01,42,14
2012-03-01,26,40
2012-04-01,41,96
2012-05-01,19,45
2012-06-01,26,33
2012-07-01,53,39
2012-08-01,32,32
2012-09-01,26,52
2012-10-01,29,35
2012-11-01,35,35
2012-12-01,41,24
2013-01-01,32,27
2013-02-01,41,48
2013-03-01,32,32
2013-04-01,32,43
2013-05-01,37,37
2013-06-01,54,48
2013-07-01,26,100
2013-08-01,37,73
2013-09-01,36,56
2013-10-01,39,39
2013-11-01,25,35
2013-12-01,30,70
2014-01-01,19,46
2014-02-01,25,35
2014-03-01,67,59
2014-04-01,47,23
2014-05-01,52,86
2014-06-01,32,53
2014-07-01,36,46
2014-08-01,25,31
2014-09-01,39,44
2014-10-01,28,51
2014-11-01,19,67
2014-12-01,19,47
2015-01-01,22,53
2015-02-01,38,38
2015-03-01,13,52
2015-04-01,44,49
2015-05-01,69,47
2015-06-01,27,49
2015-07-01,43,26
2015-08-01,35,43
2015-09-01,21,72
2015-10-01,28,36
2015-11-01,49,37
2015-12-01,33,79
2016-01-01,52,87
2016-02-01,43,67
2016-03-01,55,73
2016-04-01,34,87
2016-05-01,18,77
2016-06-01,46,38
2016-07-01,31,42
2016-08-01,26,56
2016-09-01,30,34
2016-10-01,25,60
2016-11-01,46,71
2016-12-01,32,61
2017-01-01,57,67
