date,Encryption programs,how to encrypt emails
2011-01-01,95,16
2011-02-01,100,30
2011-03-01,86,23
2011-04-01,100,17
2011-05-01,98,23
2011-06-01,80,16
2011-07-01,60,20
2011-08-01,68,23
2011-09-01,55,18
2011-10-01,94,31
2011-11-01,94,21
2011-12-01,76,14
2012-01-01,76,16
2012-02-01,53,16
2012-03-01,86,18
2012-04-01,75,36
2012-05-01,90,30
2012-06-01,85,12
2012-07-01,46,28
2012-08-01,43,12
2012-09-01,55,21
2012-10-01,72,11
2012-11-01,75,25
2012-12-01,64,36
2013-01-01,48,13
2013-02-01,70,34
2013-03-01,70,20
2013-04-01,50,28
2013-05-01,63,24
2013-06-01,53,18
2013-07-01,69,35
2013-08-01,64,20
2013-09-01,82,19
2013-10-01,71,23
2013-11-01,83,28
2013-12-01,63,16
2014-01-01,59,31
2014-02-01,74,10
2014-03-01,73,23
2014-04-01,68,20
2014-05-01,71,38
2014-06-01,67,27
2014-07-01,53,22
2014-08-01,72,12
2014-09-01,84,26
2014-10-01,81,9
2014-11-01,67,25
2014-12-01,71,22
2015-01-01,58,13
2015-02-01,99,20
2015-03-01,67,10
2015-04-01,59,40
2015-05-01,53,27
2015-06-01,50,29
2015-07-01,43,31
2015-08-01,53,16
2015-09-01,56,26
2015-10-01,62,30
2015-11-01,60,17
2015-12-01,61,18
2016-01-01,56,19
2016-02-01,74,44
2016-03-01,59,29
2016-04-01,79,34
2016-05-01,62,28
2016-06-01,39,13
2016-07-01,56,31
2016-08-01,40,28
2016-09-01,52,24
2016-10-01,62,20
2016-11-01,67,29
2016-12-01,55,30
2017-01-01,46,40
