date,how to encrypt email,how to encrypt emails
2011-01-01,36,9
2011-02-01,53,9
2011-03-01,43,4
2011-04-01,45,6
2011-05-01,36,7
2011-06-01,57,6
2011-07-01,42,6
2011-08-01,37,7
2011-09-01,42,6
2011-10-01,35,9
2011-11-01,31,8
2011-12-01,40,7
2012-01-01,40,6
2012-02-01,47,4
2012-03-01,40,6
2012-04-01,46,15
2012-05-01,42,6
2012-06-01,53,6
2012-07-01,41,9
2012-08-01,42,4
2012-09-01,47,6
2012-10-01,58,4
2012-11-01,57,6
2012-12-01,44,5
2013-01-01,55,6
2013-02-01,61,7
2013-03-01,63,6
2013-04-01,54,8
2013-05-01,69,6
2013-06-01,80,8
2013-07-01,74,14
2013-08-01,71,11
2013-09-01,57,10
2013-10-01,64,5
2013-11-01,53,6
2013-12-01,54,7
2014-01-01,60,7
2014-02-01,71,6
2014-03-01,70,8
2014-04-01,68,7
2014-05-01,72,12
2014-06-01,73,9
2014-07-01,70,8
2014-08-01,66,5
2014-09-01,70,7
2014-10-01,55,9
2014-11-01,61,9
2014-12-01,61,6
2015-01-01,84,7
2015-02-01,69,7
2015-03-01,79,8
2015-04-01,64,9
2015-05-01,64,8
2015-06-01,64,10
2015-07-01,66,8
2015-08-01,75,8
2015-09-01,78,10
2015-10-01,72,7
2015-11-01,71,7
2015-12-01,60,11
2016-01-01,59,11
2016-02-01,91,11
2016-03-01,100,13
2016-04-01,83,12
2016-05-01,84,12
2016-06-01,75,5
2016-07-01,75,9
2016-08-01,80,7
2016-09-01,78,8
2016-10-01,92,12
2016-11-01,97,13
2016-12-01,74,9
2017-01-01,94,12
