date,encrypting emails,how to encrypt emails
2011-01-01,21,35
2011-02-01,66,59
2011-03-01,80,46
2011-04-01,49,42
2011-05-01,50,53
2011-06-01,41,54
2011-07-01,61,47
2011-08-01,64,64
2011-09-01,38,44
2011-10-01,53,65
2011-11-01,65,41
2011-12-01,23,62
2012-01-01,48,43
2012-02-01,45,45
2012-03-01,55,39
2012-04-01,44,94
2012-05-01,56,66
2012-06-01,48,40
2012-07-01,31,63
2012-08-01,31,36
2012-09-01,41,62
2012-10-01,51,37
2012-11-01,28,52
2012-12-01,36,80
2013-01-01,81,34
2013-02-01,85,66
2013-03-01,42,55
2013-04-01,43,55
2013-05-01,29,58
2013-06-01,60,51
2013-07-01,55,92
2013-08-01,50,67
2013-09-01,49,61
2013-10-01,23,62
2013-11-01,32,79
2013-12-01,44,41
2014-01-01,26,59
2014-02-01,41,32
2014-03-01,69,83
2014-04-01,45,37
2014-05-01,53,79
2014-06-01,34,59
2014-07-01,41,57
2014-08-01,20,45
2014-09-01,28,55
2014-10-01,56,26
2014-11-01,27,73
2014-12-01,30,49
2015-01-01,35,46
2015-02-01,30,42
2015-03-01,52,28
2015-04-01,18,93
2015-05-01,56,62
2015-06-01,21,67
2015-07-01,42,73
2015-08-01,24,45
2015-09-01,30,54
2015-10-01,32,67
2015-11-01,56,43
2015-12-01,37,50
2016-01-01,35,69
2016-02-01,53,88
2016-03-01,44,73
2016-04-01,46,100
2016-05-01,35,82
2016-06-01,52,43
2016-07-01,28,67
2016-08-01,39,83
2016-09-01,36,62
2016-10-01,34,65
2016-11-01,43,77
2016-12-01,28,62
2017-01-01,46,94
