date,How to encrypt emails ,how to encrypt emails
2011-01-01,57,57
2011-02-01,60,60
2011-03-01,24,24
2011-04-01,38,38
2011-05-01,45,45
2011-06-01,37,37
2011-07-01,43,43
2011-08-01,44,44
2011-09-01,43,43
2011-10-01,59,59
2011-11-01,57,57
2011-12-01,48,48
2012-01-01,39,39
2012-02-01,25,25
2012-03-01,38,38
2012-04-01,100,100
2012-05-01,37,37
2012-06-01,43,43
2012-07-01,57,57
2012-08-01,28,28
2012-09-01,42,42
2012-10-01,30,30
2012-11-01,39,39
2012-12-01,34,34
2013-01-01,39,39
2013-02-01,45,45
2013-03-01,42,42
2013-04-01,51,51
2013-05-01,38,38
2013-06-01,55,55
2013-07-01,91,91
2013-08-01,76,76
2013-09-01,64,64
2013-10-01,35,35
2013-11-01,43,43
2013-12-01,49,49
2014-01-01,47,47
2014-02-01,41,41
2014-03-01,56,56
2014-04-01,48,48
2014-05-01,80,80
2014-06-01,61,61
2014-07-01,56,56
2014-08-01,33,33
2014-09-01,50,50
2014-10-01,58,58
2014-11-01,63,63
2014-12-01,41,41
2015-01-01,44,44
2015-02-01,45,45
2015-03-01,54,54
2015-04-01,58,58
2015-05-01,50,50
2015-06-01,68,68
2015-07-01,51,51
2015-08-01,53,53
2015-09-01,68,68
2015-10-01,50,50
2015-11-01,48,48
2015-12-01,73,73
2016-01-01,72,72
2016-02-01,71,71
2016-03-01,85,85
2016-04-01,83,83
2016-05-01,83,83
2016-06-01,36,36
2016-07-01,59,59
2016-08-01,49,49
2016-09-01,54,54
2016-10-01,82,82
2016-11-01,89,89
2016-12-01,57,57
2017-01-01,78,78
