date,How do I deactivate my twitter account,how to delete a twitter account
2011-01-01,0,7
2011-02-01,0,12
2011-03-01,0,18
2011-04-01,2,16
2011-05-01,0,12
2011-06-01,2,23
2011-07-01,1,26
2011-08-01,2,28
2011-09-01,2,23
2011-10-01,1,23
2011-11-01,3,39
2011-12-01,1,37
2012-01-01,3,44
2012-02-01,1,39
2012-03-01,2,42
2012-04-01,2,44
2012-05-01,1,41
2012-06-01,6,56
2012-07-01,4,54
2012-08-01,1,63
2012-09-01,3,65
2012-10-01,2,56
2012-11-01,6,49
2012-12-01,4,57
2013-01-01,6,67
2013-02-01,5,69
2013-03-01,6,55
2013-04-01,3,50
2013-05-01,5,57
2013-06-01,3,59
2013-07-01,6,59
2013-08-01,6,62
2013-09-01,6,58
2013-10-01,5,57
2013-11-01,6,49
2013-12-01,3,63
2014-01-01,3,70
2014-02-01,3,73
2014-03-01,5,70
2014-04-01,6,63
2014-05-01,5,62
2014-06-01,3,66
2014-07-01,3,85
2014-08-01,7,73
2014-09-01,6,59
2014-10-01,5,63
2014-11-01,4,67
2014-12-01,2,74
2015-01-01,6,95
2015-02-01,8,76
2015-03-01,5,63
2015-04-01,3,62
2015-05-01,4,72
2015-06-01,5,100
2015-07-01,6,77
2015-08-01,3,56
2015-09-01,3,67
2015-10-01,4,74
2015-11-01,4,66
2015-12-01,5,68
2016-01-01,6,67
2016-02-01,2,51
2016-03-01,3,61
2016-04-01,3,64
2016-05-01,4,63
2016-06-01,5,69
2016-07-01,5,67
2016-08-01,3,66
2016-09-01,4,59
2016-10-01,3,62
2016-11-01,3,60
2016-12-01,3,57
2017-01-01,5,70
