date,Twitter settings,how to delete a twitter account
2011-01-01,30,6
2011-02-01,37,7
2011-03-01,39,10
2011-04-01,54,7
2011-05-01,64,10
2011-06-01,64,13
2011-07-01,83,17
2011-08-01,86,16
2011-09-01,85,14
2011-10-01,96,17
2011-11-01,100,19
2011-12-01,85,20
2012-01-01,76,21
2012-02-01,69,19
2012-03-01,76,21
2012-04-01,76,26
2012-05-01,73,23
2012-06-01,78,29
2012-07-01,82,32
2012-08-01,85,41
2012-09-01,88,36
2012-10-01,74,33
2012-11-01,74,32
2012-12-01,75,31
2013-01-01,76,41
2013-02-01,65,42
2013-03-01,67,33
2013-04-01,66,28
2013-05-01,58,33
2013-06-01,68,33
2013-07-01,73,35
2013-08-01,60,33
2013-09-01,60,30
2013-10-01,54,31
2013-11-01,51,28
2013-12-01,54,34
2014-01-01,58,43
2014-02-01,52,41
2014-03-01,53,36
2014-04-01,54,33
2014-05-01,50,35
2014-06-01,48,38
2014-07-01,51,44
2014-08-01,53,39
2014-09-01,48,37
2014-10-01,52,41
2014-11-01,56,39
2014-12-01,57,42
2015-01-01,57,49
2015-02-01,52,42
2015-03-01,48,37
2015-04-01,50,36
2015-05-01,46,41
2015-06-01,51,56
2015-07-01,50,44
2015-08-01,54,35
2015-09-01,45,37
2015-10-01,43,44
2015-11-01,40,40
2015-12-01,41,42
2016-01-01,44,39
2016-02-01,41,30
2016-03-01,39,36
2016-04-01,37,38
2016-05-01,40,35
2016-06-01,42,36
2016-07-01,45,38
2016-08-01,36,38
2016-09-01,37,35
2016-10-01,40,33
2016-11-01,36,34
2016-12-01,38,34
2017-01-01,42,42
