date,How do I delete my twitter account,how to delete a twitter account
2011-01-01,4,11
2011-02-01,7,13
2011-03-01,5,17
2011-04-01,4,14
2011-05-01,5,15
2011-06-01,7,23
2011-07-01,8,26
2011-08-01,7,31
2011-09-01,6,25
2011-10-01,7,28
2011-11-01,13,36
2011-12-01,11,34
2012-01-01,10,33
2012-02-01,9,33
2012-03-01,12,38
2012-04-01,14,44
2012-05-01,12,39
2012-06-01,14,52
2012-07-01,18,55
2012-08-01,12,74
2012-09-01,12,66
2012-10-01,11,56
2012-11-01,12,53
2012-12-01,20,51
2013-01-01,23,72
2013-02-01,16,76
2013-03-01,19,55
2013-04-01,20,47
2013-05-01,21,60
2013-06-01,15,53
2013-07-01,18,59
2013-08-01,24,60
2013-09-01,30,56
2013-10-01,17,55
2013-11-01,14,51
2013-12-01,14,63
2014-01-01,21,80
2014-02-01,32,74
2014-03-01,31,63
2014-04-01,12,58
2014-05-01,13,61
2014-06-01,25,65
2014-07-01,26,80
2014-08-01,25,72
2014-09-01,17,64
2014-10-01,19,70
2014-11-01,23,69
2014-12-01,23,75
2015-01-01,28,86
2015-02-01,21,74
2015-03-01,16,66
2015-04-01,22,64
2015-05-01,28,72
2015-06-01,21,100
2015-07-01,18,78
2015-08-01,22,59
2015-09-01,25,65
2015-10-01,22,79
2015-11-01,15,68
2015-12-01,11,73
2016-01-01,24,67
2016-02-01,19,55
2016-03-01,20,61
2016-04-01,13,64
2016-05-01,9,63
2016-06-01,19,67
2016-07-01,22,65
2016-08-01,17,66
2016-09-01,8,61
2016-10-01,13,59
2016-11-01,21,60
2016-12-01,18,62
2017-01-01,20,73
